,job_title,location,salary_range,job_description
86,data analyst,Texas,None,"About the Data Analyst positionWe are looking for a certified Data Analyst who will help us turning data into information, getting insights and developing business decisions based on the analysis results. Your responsibilities will include conducting full lifecycle analysis to include requirements, activities and design and also monitor performance and quality control plans to identify improvements.

We expect you to possess analytical mindset with creative approach to tasks and the ability to find patterns and correlation when dealing with big volumes of information. You should also be able to work under a flexible schedule and report on your findings in a detailed and straightforward manner.Data Analyst responsibilities are:

Manage databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Collect required data, analyze results using statistical techniques and provide ongoing reports
Retrieve information from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Review computer reports, printouts, and performance indicators to locate and correct code problems
Collaborate with management to prioritize business and information needs
Find and evaluate new process improvement opportunities


Data Analyst requirements are:



2+ years' experience of working on a Data Analyst or Business Data Analyst position
Significant experience of working with data analytical models, database design development, data mining and segmentation techniques
Excellent knowledge of statistics and experience using statistical packages for analyzing datasets, including Excel, SPSS, SAS and so on
Good practical experience with reporting packages (e.g. Business Objects), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Precise and effective written and verbal communication skills
BS degree in Mathematics, Economics, Computer Science, Information Management or Statistics
Must be a U.S. Citizen

"
87,data analyst,"Cromwell, CT",None,"JOB DESCRIPTIONA manufacturing client of ours is seeking a Junior Data Analyst to join their team in Cromwell, CT! This person will be responsible for collecting, organizing, and interpreting company data and statistical information to help drive overall business initiatives. This resource will focus primarily on the company's sales data and analytics and will need to pull data from the CRM and ERP systems, as well as Microsoft Excel at times. They will need to then interpret that data, analyze results, and provide ongoing reports to various teams including management. The ideal candidate should posses strong analytical skills, strong communication skills, and be open to learning and growing within a company.MINIMUM REQUIREMENTS1-3 years of experience as a Data AnalystBachelor's degree in Math, Statistics, Economics, Computer Science, or other related fieldExperience with Microsoft Excel, ability to create pivot tables and use VLOOKUP functionalityExposure to any ERP systemDESIRED SKILLSExperience using VISUAL ERP"
88,data analyst,"Tustin, CA",$42K - $82K (Glassdoor est.),"Title: Data AnalystLocation: Tustin, CADuration: 6+ months (wants contract to hire option)Schedule: M-F onsite (remote during covid)Process: Phone interview followed by a Webex or Zoom videoMusts:Donor Development/Donation Realm non-profitCRM background prefers any background in NON-PROFITData AnalysisPosition OverviewThe Data Analyst is a vital team player in IS department. The Analyst plans and conducts the analysis, design, testing, documentation and deployment of new and existing technology solutions to meet client's business and operational requirements; develops business process requirements and improvements; facilitates development of priorities with managers; coordinates and participates in applications testing and problem resolution; executes quality assurance activities. This position operates as the subject matter expert providing technical and functional system analysis services to enable client to develop and implement software and technology solutions to meet business, operational and functional objectives.They want someone with experience in Donations, Non-profit with technical strengths in Donor development, Donor cultivate, all types on non-profit donations realm would be the ideal candidate. The Data Analyst role will still be responsible for data reporting, dash boards, analyze and extract data what to run for the business. Both front end and back end systems knowledge is required.Job Duties:Donor Development/Donation Realm non profitOpen to CRM background as a trade-off but prefers any background in NON-PROFITData Analyst data reporting, dashboard, & data extraction.Analyze and document complex as-is and future business processes to turn business requirement into documents for procedures, applications, tools and reportingCollect and develop detailed business and functional requirements across the enterprise and serve as a liaison between the business and technical teams.Assist Application Support team with troubleshooting and root-cause analysis.Troubleshoot issues with current software applications and interfaces identifying potential solutions and working with the development team to resolve.Assist the development team with writing test cases, test scripts and scorecards.Create, contribute to and organize operational procedures and user manualsCollect and Analyze data to identify risks and perform root-cause analysis on areas of risk.Establish and track action plans, working with cross functional teams.Ability to identify solution options with pros/cons and present to various stakeholders and decision makers.Monitor project progress by tracking activity, resolving problems, publishing progress reports, recommending actions.Schedule, facilitate and document meetings with all levels of staff for purposes of discovery, presentation, review, approval and problem resolution.Ability to answer questions, provide detail, address changes to requirements, and facilitate dialog across teams when issues and challenges are encountered to ensure the end product is delivered as specified.Create, maintain and analyze metrics, KPIs and reports for Software Applications.Contribute and facilitate the Continuous Improvement of Software Applications providing recommendations and action plans for enhancements and upgrades.Responsibilities extend to multiple projects, applications enhancements, risk mitigations and/or continuous improvement simultaneously.Demonstrated report writing skills in either SQL Report Writer, Crystal Reports or other reporting or BI platform.Working familiarity with writing SQL queries, creating database views, and reading/writing basic stored procedures.Familiarity with the SDLC and software developmentHighly proficient gathering and developing detailed business and functional requirements.Excellent analytical skills so that a customer’s business needs are properly interpreted and translated into application and operational requirementsDemonstrated ability to quickly grasp complex technical concepts and make them easily understandable in text and pictures.Excellent written and oral communication skills effectively communicating in individual and group settings in all levels of the enterprise, from C-level position to end users as well as external vendors.Strong knowledge of systems capabilities, software platforms and processes.Excellent analytical, critical thinking and problem-solving skills.Knowledge of different development languages and software architecture will be highly desired.Proficient organizational and time management skills, multi-taking and working under minimal supervision.Strong attention to detail.Proficiency with MS Office, MS Visio and other documentation and organizational tools.Job Type: ContractPay: $50.00 - $60.00 per hourBenefits:401(k)Health InsurancePaid Time OffCOVID-19 considerations:Remote until its safe to work onsiteExperience:Donor: 1 year (Preferred)CRM: 1 year (Preferred)Data Analysis: 5 years (Required)Location:Tustin, CA (Required)Full Time Opportunity:YesSchedule:Monday to FridayWork Remotely:Temporarily due to COVID-19"
89,data analyst,"New York, NY",$70K - $129K (Glassdoor est.),"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 375 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.Job Description Summary: Seeking data analyst candidate for PayPal's CTO business technology team that looks to optimize internal infrastructure and processes.Job Description:Position OverviewPayPal is the world’s leader in online payments processing. The company helps buyers and sellers around the world make and receive payments. PayPal is headquartered in San Jose, CA with multiple offices within the United States and around the world.We have instituted the Technology Efficiency program as one of key strategic programs for the Business Technology Office under the CTO. The program measures impact, cost, and operational efficiencies of our physical technology infrastructure, thousands of applications used to run PayPal, and the processes that govern IT. The team managing this program performs detailed analytics using data from multiple data sources / monitoring tools to identify inefficiencies and work within the organization to communicate / remediate them.The efficiency program is a key priority for 2021 and the team is rapidly growing its area of responsibilities . We are seeking motivated applicants for a Data Analyst position to maintain visualizations and perform statistical analysis against the various areas under the efficiency program (e.g. PayPal applications, infrastructure, processes).Core DutiesCollaborate with team members to collect and analyze dataStructure large data sets to find patterns and actionable insightsUse graphs, infographics and other methods to visualize dataCreate reports for internal teams and/or external clientsEstablish KPIs to measure the effectiveness of business decisionsCreate presentations and reports based on recommendations and findingsCompetenciesCore Behavioral CompetenciesStrong written and verbal communication skillsAbility to write clear and concise communicationsAbility to work effectively in a global team environmentRole Specific Behavioral CompetenciesAbility to translate complex problems into simpler termsAbility to work independentlyPrerequisite Knowledge & ProficienciesMust HaveProficiency in SQLProficiency in Python and/or R for data analysisExperience with Machine Learning packagesSome experience in cloud data warehouse technologies like Google Big query or AWS RedshiftExperience with reporting and data visualization skills using software like Tableau or Power BIProficiency in Microsoft ExcelStrong analytical and problem-solving skillsTechnical writing skills and strong written/verbal communication skillsAbility to QA and troubleshoot dataAbility to set and meet deadlines and work in high-pressure situationsNice to HaveExperience with No SQL / HadoopExperience with Gimmel notebooksUnderstanding of data warehousing and ETL techniques (including gathering, cleaning and transforming techniques)Experience & Education3+ years working experience as a Data AnalystMS in Computer Science, Information Systems, or equivalent fieldExamples of Specific Job Tasks/AccountabilitiesAnalyze data on a weekly basis as it is refreshed to track trends in efficiency KPIs and project year-end targetsWork with management to define reports and new visualizations as neededImplement new analytics, reports, visualizations on a bi-weekly basis as part of agile sprintsWork on monthly presentations to senior leadership to give a read-out on efficiencyWork with internal engineering teams on a regular basis to provide updates on efficiency KPIs for their areas and identify areas of potential improvementTrack / facilitate initiatives by engineering teams to make efficiency improvementsTroubleshoot data quality issues and work with owners of source data systems to remediate those issuesWe're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities."
90,data analyst,"Grand Prairie, TX",$45K - $61K (Glassdoor est.),"POSITION SUMMARY:  This role is a critical part of the team responsible for installation, testing, training and support of all systems at Arnold Transportation. The Data Analyst will own responsibility for interpreting data and turning it into actional information which can offer ways to improve our operations and/or use it to support strategic business decisions.Job scope includes, but is not limited to:· Providing integration and technical expertise on operational data challenges.· Serving as Tier- 2 support providing technical insights and expertise.· Supporting all new requirements that require data solutions, technical oversight and design.· Interfacing with business users, analyzing complex business challenges and developing data-driven solutions leveraging various technology partners.· Supporting projects, resolving production issues; developing reports; and providing training as needed.ESSENTIAL JOB FUNCTIONS:· Serve as a member of the IT team responsible for selecting, maintaining and enhancing the new fleet transportation management system (TMS) and other company applications.· Lead technical aspects of resolving integration issues.· Work with Integration specialists and software vendors to resolve issues.· Develop reports, metric/KPI monitoring tools and data visualization solutions· Interface with multiple levels of users, management and staff.· Contribute to user support for office automation applications, computers, laptops, and printers.· Develop technical documentation and keep it updated.· Stay abreast of product features in upcoming releases and understand product roadmaps.· Provide “on call” services and respond to problem resolution opportunities that arise. The IT team is required to provide support when and where it is needed. Incumbent will be required to participate in the after-hours support program.· Other duties, as assigned.REQUIRED KNOWLEDGE, SKILLS, & ABILITIES· 1 to 3 years of experience providing technical support· 2 years development experience with data analytics and visualization tools (Power BI or Tableau)· 2 years of experience using SQL Server, MySQL or Db2· Strong Microsoft SQL and Excel skills· Scripting to automate processes· Report development using Crystal Reports or SSRS· Experience working with EAI tools and programming XML and JSON and/or knowledge of ANSI, EDIFACT, AS2 EDI standards are a plus· Experience working in Microsoft Azure cloud-based technologies· Good communication and documentation skills· Self-starter with the ability to handle ambiguity and bring clarity and vision to such situations· Recent four-year college graduates will also be considered if they have proven strong academic performance in these areas.REQUIRED EDUCATION & EXPERIENCE:· Associate degree in business information systems, computer science or engineeringPHYSICAL REQUIREMENTS: Office environment is a cubicle/desk setting with low to moderate noise. Ability to sit for long periods of time, listen and converse clearly via telephone and email. High volume of data-entry (4 or more hours a day). Ability to operate general office equipment (i.e. phone, computer, copy, fax, scan).WORK ENVIRONMENT: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job in an office and/or warehouse environment. The employee is sometimes exposed to moving mechanical parts in/around the workplace. The employee is occasionally exposed to airborne particles or caustic chemicals.The noise level in the work environment is usually low to moderate.DisclaimerStatements included in this job description do not necessarily represent an exhaustive list of all responsibilities, skills, duties, requirements, efforts or working conditions associated with the job. While this is intended to be an accurate reflection of the current job, management reserves the right to revise the job or to require that other or different tasks be performed as circumstances change. Job Type: Full-timePay: $55,000.00 - $65,000.00 per yearBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:8 hour shiftMonday to FridayApplication Question(s):What is your desired salary range?Education:Associate (Preferred)Experience:SQL: 2 years (Preferred)Technical support: 1 year (Preferred)Work Location:One locationCompany's website:https://www.arnoldtrans.com/index.phpWork Remotely:No"
91,data analyst,,$41K - $79K (Glassdoor est.),"JOB TITLE:  Data AnalystEMPLOYER:  National Association of State Procurement Officials (NASPO)DEPARTMENT: TechnologyLOCATION:  NASPO HQ (Lexington, KY) or RemoteREPORTS TO: Director of Business and Data AnalyticsNASPO is seeking a skilled data analyst to join our technology team and help streamline our data operations for the future and enable data-driven decision making. The position will report to the Director of Business and Data Analytics and performs various data processing, business and data analysis, and other technology support including, but not limited to:Processing of incoming data and documents, verification of compliance with standards, and input of information into various systems. This includes identifying areas for improvement in processes and assisting with creating systems to streamline the accuracy and speed of processing.Creation of reports, dashboards, and other visualizations of internal and external datasets.Creation of market research and data analysis work products from various datasets and sources to inform internal business decisions and assist multi-state contract sourcing teams.Business analysis of processes for all divisions of NASPO, the development of new technology tools, and support and system administration for various systems and technology.Assisting with technology support for various programs, conferences, and events.DUTIES AND RESPONSIBILITIES:Data Entry and Data Quality AssuranceData entry of detailed sales reports, participating addenda, and website updates.Review of detailed sales reports, participating addenda, and website updates for compliance with established standards.Business Analysis and Solution EngineeringAnalyze Business Processes and architect solutions to streamline process and collect better data.Create and train staff on CRM solutions in the Salesforce environment.Think critically about data models and how to best structure data to derive value in later analysis.Database and Application DevelopmentCentralize and clean data using SQL and other tools. (PostgreSQL, MySQL, SQL Server, etc.)Develop and Maintain API Integrations to centralize data. (Node.js, PHP, Python or Language of Your Choice)Configure AWS services (S3, Elastic Beanstalk, Lightsail, Lambda, Elasticsearch Service)AnalysisCreate dashboards and reports in various tools (Power BI, Tableau, AWS Quicksight, etc.)Develop and execute data analysis using various tools (SQL, Excel, PowerBI, Tableau, AWS Quicksight) * Analyze spend/sales data, customer surveys, and other data sources.Synthesize insights from the analysisPerform market research using NASPO frameworks, data services, and public sources: * Research the size of a market for a commodity or serviceResearch supply chain characteristics of a commodity or serviceResearch companies and market share for a commodity or servicePerform interviews with end users, procurement professionals, and suppliers.CommunicationCreate presentations on analysis and research.Present analysis to stakeholders including the NASPO Board, committees, sourcing teams, and other groups.SUPERVISORY RESPONSIBILITIES: None.MINIMUM QUALIFICATIONS: Bachelor’s degree or equivalent in related field.Two to four years of related experience.Advanced skills and knowledge of data collection, data analysis, evaluation, and statistical methods.Advanced knowledge of statistics and experience using statistical packages for analyzing datasets.Technical expertise regarding data models, database design development, data mining and segmentation techniques.Strong knowledge of and experience with relational database tools (PostgreSQL, MySQL, SQL Server, etc.) and data visualization packages (Microsoft Power BI, Tableau, etc.).Experience with CRM systems such as Salesforce.Adept at queries, report writing and presenting findings.Demonstrated ability to plan and organize multiple projects and meet deadlines.Excellent verbal and written communication skills.Proficient in Microsoft Office.Excellent communication and interpersonal relationship skills.Ability to work well individually and in a team environment.Strong customer service orientation and commitment to association values.Job Type: Full-timeBenefits:401(k)401(k) matchingDental insuranceDisability insuranceEmployee assistance programFlexible scheduleHealth insuranceLife insurancePaid time offParental leaveRetirement planVision insuranceSchedule:Monday to FridayExperience:related: 2 years (Required)Education:Bachelor's (Required)Work Location:One locationThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingOutcome-oriented -- results-focused with strong performance cultureTeam-oriented -- cooperative and collaborativeCompany's website:www.naspo.orgWork Remotely:Yes"
92,data analyst,"Los Angeles, CA",$48K - $93K (Glassdoor est.),"ABOUT FANDUEL GROUP

FanDuel Group is a world-class team of brands and products all built with one goal in mind — to give fans new and innovative ways to interact with their favorite games, sports, teams, and leagues. That's no easy task, which is why we're so dedicated to building a winning team. And make no mistake, we are here to win, but we believe in winning right. That means we'll never compromise when it comes to looking out for our teammates. From our many opportunities for professional development to our generous insurance and paid leave policies, we're committed to making sure our employees get as much out of FanDuel as we ask them to give.

FanDuel Group is based in New York, with offices in California, New Jersey, Florida, Oregon and Scotland. Our brands include:


FanDuel— A game-changing real-money fantasy sports app
FanDuel Sportsbook— America's #1 sports betting app
TVG— The best-in-class horse racing TV/media network and betting platform
FanDuel Racing— A horse racing app built for the average sports fan
FanDuel Casino & Betfair Casino— Fan-favorite online casino apps
FOXBet — A world-class betting platform and affiliate of FanDuel Group
PokerStars US — The premier online poker product and affiliate of FanDuel Group

THE POSITION

Our roster has an opening with your name on it

We are looking for an Analyst to join our team. You will derive insights for FanDuel Group teams in order to drive actionable insights about the business. You will work alongside a group of other analysts through various individual and team assignments to continually evolve the various tools, models, and data visualizations used to drive the FanDuel Group business.

THE GAME PLAN

Everyone on our team has a part to play


Work with other analysts to produce insights and drivers of business performance
Create, modify and evolve models and data visualizations to better understand and explain the day to day performance of various KPIs
Create and maintain automated reporting processes visible to group-wide teams
Participate in presentations focused on using analysis to drive new business outcomes
Field and fulfill requests for various business inquires

THE STATS

What we're looking for in our next teammate


2+ years' experience in an analytics role preferred
Bachelor's Degree in a highly numerate major (Math, Stats, Econ, etc.) or relevant experience in data and/or business analysis
Strong personal organizational and time management skills
Ability to work in a fast-paced environment with a lot of ambiguity
Expert in SQL and Excel required; experience with Python or R desirable
Strong problem-solving skills, allied with track record of transforming data into actionable business insight
Experience working in groups and leading smaller intra year projects
Horse Racing interest is a plus

THE CONTRACT

We treat our team right

Competitive compensation is just the beginning. As part of our team, you can expect:


An exciting and fun environment committed to driving real growth
Opportunities to build really cool products that fans love
Mentorship and professional development resources to help you refine your game
Flexible vacation allowance to let you refuel
Hall of Fame benefit programs and platforms

FanDuel Group is an equal opportunities employer. Diversity and inclusion in FanDuel means that we respect and value everyone as individuals. We don't tolerate bias, judgement or harassment. Our focus is on developing"
93,data analyst,"Arlington, VA",$55K - $88K (Glassdoor est.),"Position Summary

This position includes working with other team members to plan and conduct a broad range of data analysis and data visualization tasks using survey and administrative data to support food and nutrition assistance, health, and education projects. Candidates must have expertise in quantitative data cleaning, data mining, and data analysis. Candidates must also have demonstrated expertise in data visualization.The ideal candidate will have demonstrated skills in one or more statistical programming languages or data visualization software and excellent oral and written communication skills.

Responsibilities

Evaluating administrative data for accuracy and consistency; communicating with government agencies about any problems discovered in administrative data submissionsCompiling, editing, and analyzing survey data from primary data collection; analyzing data from large, national surveysDesigning analytic approaches to answering research questions using methods like descriptive statistics, multivariate analysis, text analysis, machine learning, and other approachesStructuring data for data visualizations and contributing to the design and deployment of interactive graphics and dashboardsDeveloping computer code for data diagnostics, cleaning, and analysisProducing written documentation for analytic data sets and dashboardsDrafting written analysis and creating graphical and tabular representations of quantitative findingsGeneral project management tasks and other duties as needed

Education

Masters degree in Mathematics, Statistics, or a Social Science (completed or in progress); orBachelors degree plus 3 to 5 years related work experience in research and evaluation services to federal or state agencies

Qualifications

Demonstrated experience in data cleaning, data manipulation, and data analysis in one or more programming languages (e.g., SAS, R, Python)Demonstrated experience synthesizing and communicating quantitative research for professional and lay audiences via data visualizations and dashboards Demonstrated experience using national data sets, particularly those maintained by the U.S. Census Bureau and other federal agencies (e.g., American Community Survey, Current Population Survey, Survey of Income and Program Participation, Common Core of Data), and/or experience using administrative data sets (data from program eligibility systems, student records, etc.) a plusBackground and strong interest in public policy or safety net researchExcellent attention to detail Proven oral and written communications skills Willingness to contribute to other project tasks as neededExperience with advanced statistical and data science methods a plusExperience with Tableau and Microsoft Power BI are a plusExperience with HTML and D3 are a plus

EEO: At Insight, we value a diverse workplace and strongly encourage women, people of color, people with disabilities, members of ethnic minorities, LGBTQ2S people, and veterans to apply. Insight is a committed equal opportunity employer. Each and every employment decision is based on business needs, job requirements, and individual qualifications without regard to race; color; sex; sexual orientation; gender identity or expression; age; religion; national origin; marital status; pregnancy or parental status; military or veteran status; medical condition; disability; or any federal, state, or local protected class. We do not and will not tolerate discrimination or harassment based on any of these characteristics.

Powered by JazzHR"
94,data analyst,"Boston, MA",$60K - $70K (Glassdoor est.),"Role OverviewThe Data Science & Analytics team at Wellframe brings new and existing cutting-edge machine learning technologies to solve problems at the intersection of healthcare and technology. We work with large, multi-source datasets that include medical claims, mobile app, and care management data. Our mission is to gain 360-degree insights into patients’ lives both within and outside of the healthcare system, and to use these insights to build a better digital healthcare product that is tailored for specific patient populations.We are seeking a data analyst to contribute to our ongoing business intelligence (BI) and external reporting efforts. This individual will work closely with the Product and Client Services and Operations teams to translate client needs into optimal quantitative metrics based on Wellframe’s data model and analytic capabilities. This will involve identifying gaps between existing and desired metrics, implementing best practices in scalable data reporting, collaboration with the Engineering team for data model change recommendations, development and communication of new reports to clients, and expertise with our business intelligence tool, Looker. This individual will become an expert in the Wellframe data model as it can be applied to client needs.Areas of Responsibility:Design and build analytic data models that support client facing reports and answering questions from our internal teams.Identify gaps between current and ideal client reporting.Develop and communicate strong opinions about best practices when it comes to data warehouse design, data modeling and dashboard design.Translate client needs into quantitative standard reporting.Communicate data-driven insights to internal stakeholders and clients.Ensure reporting is accurate, reliable, secure, and scalable.Provide internal recommendations to engineering team for data model improvementsEducation, Experience, & Skills Required:3-5+ years of experience in an analytics role with a client facing focus; experience in healthcare industry preferred.Experience building reports and dashboards using a data visualization tool (eg. Looker, Tableau, Qlik).Familiarity with the implementation process of a BI tool.Deep understanding of SQL in analytical data warehouses (eg. BigQuery, Snowflake, Redshift).Experience with Git and the command line.Proficiency with basic statistics.Behaviors & Traits Required:Passionate about data with the curiosity and self drive to continuously learn new techniques and tools to extract value from data.Incredible attention to detail with a high bar for quality and consistency.Strives to not make the same mistake twiceAt Wellframe, we reimagine healthcare relationships through a new approach that uses high-tech to deliver the high-touch support people need, when and where they need it. We call it Digital Health Management. Our comprehensive suite of Digital Health Management solutions for care management, advocacy, and navigation help organizations forge more meaningful connections with members, across their healthcare journey.Wellframe was founded to counter a pressing industry problem: the healthcare system has struggled to find ways to support people in between care settings, at scale. We believe health plans are in the best position to advocate for their members as they navigate their health and care, but know that technology alone can’t help us achieve this ambition. That’s why our team of physicians, clinicians, public health experts, data scientists, engineers, and healthcare industry experts ensure our patented technology works in service of the person-to-person connections that make healthcare work best.Wellframe, Inc. is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status or any other characteristic protected by local, state, or federal laws, rules, or regulations.This posting is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee and any percentages listed are approximate. Duties, responsibilities and activities may change or new ones may be assigned at any time with or without notice."
95,data analyst,"Erie, PA",$41K - $83K (Glassdoor est.),"School Data AnalystAs a School Data Analyst, you will provide technical support, data management, and billing support for several school-based programs within the organization. Responsibilities include scheduling billable activities; preparing and analyzing service history reports; new enrollment data entry; and troubleshooting system errors.This position will also act as primary liaison for the C&Y Children’s Mental Health Partial Program. You will complete enrollment process for new CHMP admissions, including: review admission with child’s insurance company; procure authorization or denial letter from insurance company; hold a triage meeting with CCBH staff to complete and submit CCBH application; enter billing authorizations into CareLogic system.Qualifications for School Data Analyst:Must be at least 18 years or olderBachelor’s degreeMinimum of 3 years of related experienceKnowledge of Qualifacts/Carelogic Enterprise a plusMust have a valid driver’s licenseEligibility for State Police Criminal Record Check and Child Abuse History ClearanceFBI clearance required for individuals who do not meet PA residency requirementsBenefits:We offer competitive wages, ongoing training and flexible scheduling for both Full- and Part-Time positions. In addition, Full-Time employees receive a generous benefits package, which includes: Medical & Time OffMedical/Dental/VisionFlexible Spending AccountsGenerous PTO plans7 Paid holiday daysCompany-paid Life InsuranceLong-Term Disability and Short-Term Disability availableWellness ProgramDiscounted on-site weekday childcare (Erie Campus)Employee discounts for select events and servicesBonuses & Opportunities401(k) and 403(b) Retirement Savings optionsEligible for Federal Student Loan ForgivenessAvailable $250 bonus through Employee Referral ProgramPaid trainingScholarship opportunitiesWho is Barber National Institute?The Barber National Institute is a non-profit committed to its mission of providing the highest quality services for children and adults with autism, intellectual disabilities or behavioral health challenges and their families. Since our founding in 1952, we have evolved into a multi-faceted organization serving more than 6,200 individuals annually with a wide range of educational, vocational, residential and behavioral health programs.Get hired with one of Barber National Institute's #JobsInErieWe are an affirmative action federal contractor equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, ancestry, age, sexual orientation, protected veteran status, disability or any other legally protected status. If you need an accommodation to apply, please contact HR. EOE"
96,data analyst,"Duluth, MN",None,"On behalf of one of North America’s largest natural gas distributors, we are looking for a Data Analyst in Duluth MNJob Description:Manage pipeline and facility centric engineering, construction and equipment data and metadata.This person will be responsible for the accuracy, verification and management of data provided to the business. i.e., testing specs, hydrotest data, drawing numbers, photos, model numbers, check sheets, release of data, and associated metadata.Provides critical support and knowledge by accurately analyzing, validating, and determining the correct engineering data in order to mitigate risk associated with information management during the project lifecycle.It would be preferred if the person understood basic scripts.Programming a system will not be required.Attention to detail and being able to review and understand data and accuracy is of utmost importanceBe familiar with data tools and terminologyA great candidate will demonstrate:OrganizationTeachable and able to learn complex, critical thinking ideas in a short amount of timeAble to quickly apply their expertise to solve problems, analyze data and work independentlyHonest and able to work remotely as will be working remotely until COVID allows a return to officeEducation:BA/BS or 5+ years of industry/data experience.Experience in the following areas:Understanding of Oil Industry terminology and processAbility to interpret Engineering and Asset related dataCreation and delivery of trainingNecessary Proficiencies:Strong Excel skillsSharePointAbility to interpret and process information from drawings and technical specificationGeneral Knowledge of:Project Execution Requirements and DeliverablesSQL and NoSQLDatabase Design and Structure.#MON#EWEMI"
97,data analyst,United States,None,"Who We Are

BryterCX is the leading company in providing a Journey Intelligence SaaS solution to organizations in order to improve their customers experiences by removing friction and optimizing functions and channels. We make the world better by making business experiences better. The BryterCX Journey Management Suite - IRIS - provides organizations with the ability to increase revenue by lowering customer churn, decreasing costs by reducing analog channels, and improving the overall experience by matching the right capability to the customer.

Who You Are

You are a critical and analytical thinker who enjoys dissecting large, complex datasets. You have pride in your ability to craft creative solutions and communicate them clearly. You enjoy opportunities to learn and consider yourself a self-starter. You dont shy away from ambiguity but really shine when given a tangible business goal and a relevant dataset.

The Role

Our Data Analysts reside in BryterCXs Professional Services organization and fuel our analytics delivery to new and existing clients commonly spanning the financial, utility, insurance and telecommunication verticals. Our Data Analysts primarily perform analysis using BryterCXs product suite, BI tools, SQL, and open-source programming languages deriving customer experience-relevant findings for organizations and developing appropriate material to communicate those findings. Your time will be split between deriving analytical insights, developing BI solutions, communicating analytical findings, and collaborating with client user bases.

Overview of Responsibilities

Deliver Analytics: Craft and execute tactical approaches to client-requested analytics using BryterCX product suite, relational data exports, BI tools, and open-source programming languagesCraft BI Solutions: Design and construct dashboard solutions allowing clients to self-service analytics and insightsBuild Client Rapport: Build client capabilities and credibility through user training, focused mentoring, and ad hoc supportContribute to platform design: Leverage business knowledge and client-specific use cases to provide requirements and feedback in BryterCX design and use of client dataSupport product usage: Collaborate with BryterCX technical teams to ensure optimal software performance and enhanced functionality

Requirements

Bachelors Degree in computer science, information systems, business analytics, engineering, operations research, or related data-oriented field1-2 years of experience in software consulting or related data-oriented fieldPrior experience translating business requirements, decomposing and improving processes, or scoping analysesExcellent communication, presentation, writing and interpersonal skillsExceptional analytical critical thinking skills, including the ability to quickly assimilate new informationExperience in using analytics on a large dataset to solve business problemsProficient with the use of Microsoft ExcelProficient with SQL and relational data models and modelingComfortable with Python/R/open-source programmingExperience building original software solutions in Tableau, PowerBI, or comparable BI tool, a plusExperience in customer experience analysis, including web analytics, customer segmentation analysis, contact center analysis, marketing analytics, etc. a plusLive classroom training/coaching, a plusFamiliar with machine learning practices, a plus

Powered by JazzHR"
