,title,jobage,salary,jobtype,location,description
13,Data Engineer,30+ days ago,,Data Engineer,US National,"
            Identify <b>data</b> needs for business and product teams, understand their specific requirements for metrics and analysis, and build efficient and scalable <b>data</b> pipelines to enable <b>data</b>-driven decisions across brand
Design, develop, and own <b>data</b> pipelines...
        "
14,Data Scientist,24 days ago,,Data Scientist,US National,"
            Help create ETL pipelines in Snowflake, MySQL, Python. Design, build, and maintain the following big-<b>data</b> pipelines in a distributed environment for maximum productivity and scalability: <b>Data</b> engineering; ML development, evaluation and deployment...
        "
15,Data Analyst,8 days ago,,Data Analyst,"MO, IA, WI, IL, MN, MI, AR, AL, LA","
            Work with stakeholders to understand their <b>data</b> needs and provide recommendations for improvements to <b>data</b> sources and reporting processes. Collaborate with cross-functional teams to gather <b>data</b> requirements and create <b>data</b> visualizations that help...
        "
16,Data Scientist,30+ days ago,,Data Scientist,"Copenhagen, Denmark","
            The <b>data</b> scientist will evaluate &amp; improve products by analyzing <b>data</b>, building analysis pipelines, &amp; providing business recommendations. Must have two years' experience working in a field related to <b>data</b> analysis. Remote working is allowed.
        "
17,Principal Data Engineer,3 weeks ago,,Principal Data Engineer,US National,"
            You will lead and perform development activities for our <b>data</b> platform, which serves as the foundational <b>data</b> architecture for <b>Data</b> <b>Science</b>, <b>Data</b> Analytics, and Research &amp; Learning Engineering teams. You will be directly involved in the design...
        "
18,Data Scientist,30+ days ago,,Data Scientist,"Gold River, CA","
            Join customer experience practice. Aptitude and creativity are valued. Will use machine learning related techniques to develop scalable solutions. Extract key insights. PhD in area of computer <b>science</b> req. This is a full-time contract. Telecommute.
        "
19,Director of Data,1 week ago,,Director of Data,"Singapore, Singapore","
            Manage the development of the company's overall <b>data</b> architecture, adopt new ad and CRM technologies to maximize revenue, ensure consistency of process and usage, and champions best practices in <b>data</b> management, and oversee <b>data</b> accuracy processes/goals.
        "
20,Data Scientist,"New!
                Yesterday",,Data Scientist,US National,"
            Develop insights generation and <b>data</b> visualization. Develop and optimization of machine models for tracking changes in user overtime. Machine learning modeling and processing. Perform exploratory <b>data</b> analysis for new datasets. Develop machine learning...
        "
21,Data Analyst,1 week ago,,Data Analyst,US National,"
<b>Data</b> analysis for large engineering program management (environmental, construction, financial, project/program management). The program management <b>data</b> may include the cost, schedule, projects, contracts, risks, etc. Support the program <b>data</b>...
        "
22,Data Analyst,"New!
                5 days ago",,Data Analyst,US National,"
            Acquire <b>data</b> from primary or secondary <b>data</b> sources and establish temporary <b>data</b> collection processes. Develop and implement tactical <b>data</b> collection systems, <b>data</b> analytics, and other strategies to achieve reporting objectives. Interpret <b>data</b>...
        "
23,Data Analyst,29 days ago,,Data Analyst,US National,"
            Analyzing complex business problems using <b>data</b> from internal and external sources. Processing and exploring <b>data</b>, discovering patterns/trends, and identifying anomalies. Performing statistical analysis of structured and unstructured datasets to develop...
        "
24,Data Analyst,"New!
                3 days ago",,Data Analyst,US National,"
            Acquire <b>data</b> from primary or secondary <b>data</b> sources and establish temporary <b>data</b> collection processes. Develop and implement tactical <b>data</b> collection systems, <b>data</b> analytics, and other strategies to achieve reporting objectives. Interpret <b>data</b>...
        "
25,Data Scientist,24 days ago,,Data Scientist,US National,"
            Undertake preprocessing of structured and unstructured <b>data</b>. Analyze large amounts of information to discover trends and patterns. Build predictive models and machine-learning algorithms. Present information using <b>data</b> visualization techniques...
        "
26,Director of Data,1 week ago,,Director of Data,"Hong Kong, Hong Kong","
            Manage the development of the company's overall <b>data</b> architecture, adopt new ad and CRM technologies to maximize revenue and manage, develop, prioritize and recommend initiatives to improve and build upon the <b>data</b> architecture to support the business a...
        "
27,Senior Data Architect,30+ days ago,,Senior Data Architect,"Bangalore, India","
            Provide analysis, counsel and direction to engineering and <b>data</b> <b>science</b> teams on enterprise <b>data</b> management best practices. Partner with enterprise support teams and leadership to make <b>Data</b> Architecture part of a holistic enterprise strategy.
        "
28,Director of Data,1 week ago,,Director of Data,"London, United Kingdom","
            Manages the development of the company's overall <b>data</b> architecture, adopt new ad and CRM technologies to maximise revenue. Will also manage, develop, prioritize and recommend initiatives to improve and build upon the <b>data</b> architecture to support the bu...
        "
29,Data Engineer,29 days ago,,Data Engineer,"Bangalore, India","
            The <b>Data</b> Engineer is responsible for the design, development, implementation, and support of our core <b>data</b> warehouse and <b>data</b> marts to power advanced analytics and ad hoc analyses to both internal and external clients. Bachelor's degree and 1+ yr of exp.
        "
30,Data Analyst,13 days ago,,Data Analyst,IL,"
            Perform basic <b>data</b> management, <b>data</b> cleaning and statistical analysis using SAS, R, or other statistical programming language on COVID-19 <b>data</b> to complete <b>data</b> extracts. Continuously monitoring performance and quality control plans to identify...
        "
31,Data Engineer,1 week ago,,Data Engineer,US National,"
            A <b>Data</b> Engineer should be able to build, operationalize and monitor <b>data</b> processing systems. Create robust and automated pipelines to ingest and process structured and unstructured <b>data</b> from various source systems into analytical platforms using systems.
        "
32,Head of Data,"New!
                5 days ago",,Head of Data,"Houston, TX","
            Collaborate regularly with colleagues with many different specialities to create innovative solutions that delight our customers and colleagues. Work with <b>data</b> scientists, <b>data</b> engineers, and <b>data</b> analysts to scope out and plan new <b>data</b> sources and...
        "
33,Data Engineer,"New!
                Today",,Data Engineer,US National,"
            Participate in the overall architecture, engineering, and operations of a modern <b>data</b> warehouse and analytics platforms. 5 years of engineering experience in enterprise <b>data</b> warehousing, <b>data</b> engineering, business intelligence, and delivering analytics...
        "
34,Data Analyst,"New!
                2 days ago",,Data Analyst,US National,"
            Responsible for ensuring the business makes better decisions through collection and usage of <b>data</b>. Ensures business <b>data</b> and analysis requirements are met by accurately applying <b>data</b> concepts, including <b>data</b> structures, collection and cleansing, and...
        "
35,Data Engineer,30+ days ago,,Data Engineer,Canada,"
            Implement distributed <b>data</b> processing systems using the Spark framework(pyspark). Keep abreast of state-of-the-art technology in <b>Data</b> engineering, perform proof-of-concepts, and plan to incorporate these into our products.
        "
36,Data Engineer,3 weeks ago,,Data Engineer,US National,"
            Design, build and support scalable and reliable <b>data</b> solutions that can enable self-service reporting and advanced analytics using open source technologies. More than 3 years of development experience in Big <b>Data</b> space working with Petabytes of <b>data</b>...
        "
37,Data Architect,1 week ago,,Data Architect,"San Francisco, CA","
            Architect and implement a <b>data</b> platform to support current organizational initiatives, while anticipating future needs and evolving the <b>data</b> platform to meet long-term goals. Collaborate with upstream and downstream stakeholders to implement...
        "
38,Data Lead,30+ days ago,,Data Lead,US National,"
            Full-time, remote candidate will audit and configure <b>data</b> infrastructure, implement product usage analytics with clear definitions, and proactively bring new business opportunities. Must have five plus years of experience as a <b>data</b> guru.
        "
39,Data Engineer,24 days ago,,Data Engineer,US National,"
            As a <b>Data</b> Engineer, you will be a member of a high-performing team delivering software solutions to clients. Your days will normally consist of the following activities: Provide process, <b>data</b> and object modeling in a variety of...
        "
40,Data Engineer,30+ days ago,,Data Engineer,US National,"
            Designing, developing, and owning <b>data</b> pipelines that power analytics for business, research, and product teams. Developing elegant <b>data</b> models to deliver business intelligence to stakeholders across the company under a self-service analytics model...
        "
41,Data Analyst,30+ days ago,,Data Analyst,US National,"
            The <b>Data</b> Analyst will define <b>data</b> requirements from stakeholders across the company, manage company-wide <b>data</b> needs, and lead creating and QA'ing company-wide dashboards. Bachelor's degree and 5+ years working in SiSense Bl Tools. 100% Remote Work.
        "
42,Data Engineer,22 days ago,,Data Engineer,"Chicago, IL","
            Looking for someone that is passionate about <b>data</b> and can help take our analytical capabilities to the next level. You will be instrumental in ensuring the availability, breadth, and reliability of <b>data</b> that uses to continuously make better technical...
        "
43,"Director, Data Analytics",30+ days ago,,"Director, Data Analytics",US National,"
            You utilize <b>data</b> <b>science</b> by combining math, statistics, specialized programming, advanced analytics, artificial intelligence (AI), and machine learning with specific subject matter expertise to uncover actionable insights hidden within an...
        "
44,Data Analyst,28 days ago,,Data Analyst,US National,"
            Assist clients with connecting their Underwriting and Financial models to Pereview. Perform XML mappings in Microsoft Excel to transfer <b>data</b> from workbooks into Pereview. Assist our <b>Data</b> Engineers with ingestion requirements and testing of SSIS package...
        "
45,Data Scientist,30+ days ago,,Data Scientist,MA,"
            Proactively explore, gather, clean, describe, and analyze <b>data</b>. Develop tools and strategies related to text analytics, machine learning, and semantic enrichment. Develop and maintain strong working relationships across departments and with key...
        "
46,Data Engineer,30+ days ago,,Data Engineer,US National,"
            Build <b>data</b> pipelines and deriving insights out of the <b>data</b> using advanced analytic techniques, streaming and machine learning at scale. Work within a dynamic, forward thinking team environment where you will design, develop, and maintain mission...
        "
47,Lead Data Engineer,13 days ago,,Lead Data Engineer,PA,"
            Analyze <b>science</b>, engineering, business and other <b>data</b> processing problems to implement and improve computer systems. Perform advanced SQL Programming in <b>data</b> warehouse environment including use of different analysis techniques or business intelligence...
        "
48,Data Scientist,30+ days ago,,Data Scientist,"Warsaw, Poland","
            Bring scientific rigor and statistical methods to the challenges of product creation, development, and improvement. Must have a master's degree and 2 years of work experience in a <b>data</b> analysis related field. Full-time, remote position.
        "
49,Data Analyst,30+ days ago,,Data Analyst,US National,"
            Analyze billions of dollars in order <b>data</b> across thousands of hospitals. Use <b>data</b> to draw meaningful and actionable insights in order to expand growth strategy. Optimize the size of cashback offers through incremental testing to help maximize...
        "
