,title,company,description,location,posted_date
12, Data Scientist , ZEN3 INFOSOLUTIONS AMERICA INC ,"Job Title: Data Scientist Location: Redmond WA Duration: Full time  Job Description: REQUIRED (Degrees or certifications, all other) 8-10 Years of ExperienceQuerying language experience –SQL is most common language outside MS but they will have to learn KQL (its close to SQL) as well to be able to pull most MS data logs. Strong in PowerBI (I would lean towards someone who is very experienced here) – MOST IMPORTANTVendor must be able to help with general quantitative UX work (querying, data analy"," Remote or Redmond, WA, USA ", Posted 1 day ago
13, Data Scientist , Decca Consulting ,"Position:   Data Scientist    Location:  3000 N. Sam Houston Parkway E. Houston TX USA 77032   Pay Rate: 25.33   Employment Type: 6 months assignment with potential to become FTE   Schedule: Schedule: 8-5, 50 hrs, M-F Position   Qualifications: Top 3 skills: 1. Power BI Desktop experience, including dataset connection and transformation activities, and experience building visualizations and reports. 2. Power Apps experience 3. Microsoft Excel experience Additional skills: 1. Ability to work with"," Houston, TX, USA ", Posted 1 day ago
14, Data Scientist , Randstad Technologies ,"job summary:  Open to remote or Client hub  Seeking Senior Level Data Scientists in the Sam's Club Technology division specialize in applying computer vision, machine learning and artificial intelligence to solve problems across Merchandising, Marketing, Club Operations, Finance, eCommerce, and Security. You will have the opportunity to work with a high caliber team from a variety of disciplines to build new software and radically change our business. Data Scientists work as part of an Experienc"," Remote or Bentonville, AR, USA ", Posted 16 days ago
15, Data Scientist I , Randstad Technologies ,"job summary:  Description: Must haves for this role: Excellent communications skills able to work with non-technical businesses to understand their processes and translating that to data and metrics the business identified, architecture requirements to fulfill, and building reports to meet those needs Ability to work with reporting tools (Power BI) to create stories with visuals for businesses to consume (related to the above) Can handle multiple Lines of Business Requests at the same time. Unde"," Charlotte, NC, USA ", Posted 6 days ago
16, Data Scientist , Xoriant Corporation ,"Role: Data Scientist Location: Tampa, FL Duration: 12 months Onsite Role Job Description:  We are looking for profile with working experience as data science role. Person must be able to write oracle queries and perform data analysis in tables by executing multiple queries .Python programming knowledgePerson should know how to analyze the data by creating pivot function in excel.Person should be able to write basic Unix commands and must be able to perform project deployment related Unix tasks.P"," Tampa, FL, USA ", Posted 2 days ago
17, Data Scientist , Nigel Frank International ,"Job Description:  Our client is an IT Services and Consulting firm located in Arlington, VA looking for a Cleared Data Scientist to join their team. Our client is actively interviewing currently. This role is 100% on-site in Springfield, VA.  Role & Responsibilities include:  *Identify data sources and automate collection processes  *Analyze large, complex data sets to identify trends and patterns  * Combine models through ensemble modeling Qualifications include: * Active Top Secret clearance o"," Springfield, VA, USA ", Posted 21 days ago
18, Data Scientist , LatentView Analytics Corporation ,"Job description: Analyze marketing data to identify patterns and trendsDevelop and maintain marketing mix models to understand the impact of different marketing channels on business outcomesCollaborate with cross-functional teams to gather data and insights to improve the accuracy of the modelsProvide insights and recommendations on marketing strategies and tactics to optimize performance and ROIDevelop and deliver regular reports on marketing performance, including key metrics and trendsMonitor"," San Jose, CA, USA ", Posted 7 days ago
19, Data Scientist , WinMax Systems Corporation ,"Job Title: Data ScientistLocation: 100% remoteDuration: 18 months Job description: The Microsoft Mixed Reality team works with big data. You will join the Hololens Product Integrity Group as we outline our next generation data analytics architecture, allowing us to monitor product quality, apply correlation and understanding to device measurements, and deploy new test coverage for the product.   Experience:An Engineering B.S. with Data Science/Analytics experience, a grounding in statistics and ", Remote , Posted 22 days ago
20, Data Scientist , Metasys Technologies ,"Hi, Hope you are doing well! I represent Metasys Technologies Inc., a leading IT/Non-IT staffing organization. I am part of a team responsible for servicing a major client of ours that is a world leader in IT and Non-IT services. Please go through the job description below and let me know if you would be interested. You can reply to this email with an updated copy of your resume / call me at [+1 470 571 1260].   Job Position  : Data Scientist Location  : Portland, OR – 100% Remote (Preferref Can", Remote , Posted 8 days ago
21, Data Scientist - Computer Vision , Henderson Scott Limited ,Henderson Scott is delighted to be retained on a Computer Vision Data Scientist Role with our key start-up client. This is a fantastic opportunity to be an integral part of a new start-up that seeks to change the way products enhance human movement performance and learning.  Role Overview:  The candidate will be a key member of a small team of 6-7 engineers. The current data science team has two engineers. The general task of the position is to build data-driven tools for human movement training, Remote , Posted 5 days ago
22, 1355 Data Scientist , Experis ,"Data Scientist Our client in Cincinnati, Ohio is looking for hardworking, motivated talent to join their team. Don't wait  apply today! What's in it for you? $60-65/ hour Remote Contract Full time Job Description The Data Scientist will be responsible for building advanced analytic (ML/AI/Optimization) algorithms within a Data Science program and working with Business Partners and Friends of Data Science to insert algorithms into business processes and activate them directly with the business.  ", Remote , Posted 19 days ago
23, Data Scientist ," HireTalent, LLC ","Title: IT -Data Scientist  Location: New York, NY or Holmdel, NJ or Bethlehem, PA Duration: 3 months (Contract to hire) Job Description: The Qualified Candidate is: A self-starter who can work independently to implement and operate new technologies that help Client Life advance its Automation & Artificial Intelligence objectives. Driven by a desire to deliver outstanding customer service and a rock-solid stable AI platform, you will be successful through successful operation of our automation pl"," New York, NY, USA ", Posted 13 days ago
24, Junior Data Scientist ," Pragmatics, Inc. ","Pragmatics, Inc. is seeking an Junior Data Scientist supporting our direct client. The client location is Columbia MD. Clearance Required: Must have an active TS/SCI clearance with Full Scope Poly (FSP)  Key Responsibilities Support a team of data scientists and analytics support.Ability to Apply statistical methods for exploratory data analysis.Apply statistical methods for exploratory data analysis including advanced statistical analysis techniques (e.g. general linear modeling, structural equ"," Columbia, MD, USA ", Posted 3 hours ago
25, Data Scientist -- Computer Vision , NR Consulting LLC ,"• Solid knowledge of various Image Filtering, Binary Morphology, Perspective / Affine transformation, Edge Detection, and Tracking.  • Machine Learning: Regression, Unsupervised Learning, PCA.  • Nice but not necessary to have HDR, Panorama, and deep Learning object detection."," Santa Clara, CA, USA ", Posted 2 days ago
26, Data Scientist , Xoriant Corporation ,"Position Title: Data Scientist Location: REMOTE (Need to work 9-5pm PST hours) Duration: 24 Months Contract with possibility of extension   Note: Strong experience: text mining, coding, oracle text mining experience, oracle expertise. Experience on different data models, model optimizations, model cataloguing.   Job Requirements: Strong experience as a data analyst and scientist background.Previous experience transitioning from waterfall to agile is a plus.Performing requirements analysisCreate ", Remote , Posted 14 days ago
27, Sr Data Scientist , Idexcel Inc. ,"Idexcel‘s client is looking for a Sr Data Scientist to join their team on a Contract to Hire/Full-Time basis Job Role:  Sr Data Scientist Location: Herndon, VA Full Time Basic Qualifications  BS or Masters degrees in computer science, engineering, or related technical, math, or scientific field5+ years Application Development experience required with cloud technologiesAt least 5 years’ experience in building large-scale machine learning and AI solutions at scale.3+ years of Architecture experien"," Herndon, VA, USA ", Posted 13 days ago
28, Data scientist / Machine Learning , ASCII Group LLC ,"Hello,Hope you are doing well!! we have an urgent requirement, Please go through the below Job Description and revert me back with the updated resume. Position:  Data scientist/Machine Learning Location: Remote Duration: Long Term Contract Job Description:  We are looking for a machine learning engineer with strong analytical and developer skills to join our team to develop industry leading machine learning solutions. Successful candidates will have several years of building and tuning machine l"," Durham, NC, USA ", Posted 9 days ago
29, Data Scientist ," Engage Partners, Inc. ","Data Scientist Location: New York, NY (Hybrid) Salary: $150,000 - $175,000 per year     About Our client is a financial services company on a mission to evolve markets and unleash value for clients. They streamline workflows, digitize platforms, and bring transactions, data, and analytics together for the first time. With a team of dedicated professionals, this company fosters an inclusive culture where everyone belongs, and their values-driven approach encourages collaboration, engagement, and "," New York, NY, USA ", Posted 16 days ago
30, Principal Data Scientist / ML Engineer , Randstad Technologies ,"job summary:  Our client, a leader in providing customized data and analytics within real estate, is looking for a Principal Data Scientist / Machine Learning Engineer. This person will participate in the design, development, coding, testing, debugging, deployment, and maintenance of models for the global real estate market. Will be working directly with machine learning engineers to create new models using a variety of machine learning techniques and technologies on Google Cloud Platform. Must "," Santa Ana, CA, USA ", Posted 6 days ago
31, Data Scientist/Computer Vision , Chabez Tech LLC ,"Title: Data Scientist/Computer Vision Location: Santa Clara, CA (On-Site) Duration & Engagement Type: Long Term  Required Skills/Experience: Data Scientist -- Computer Vision Is Must 1. Solid knowledge of various Image Filtering, Binary Morphology, Perspective / Affine transformation, Edge Detection, and Tracking. 2. Machine Learning: Regression, Unsupervised Learning, PCA. 3. Nice but not necessary to have HDR, Panorama, and deep Learning object detection."," Santa Clara, CA, USA ", Posted 16 days ago
32, Data Scientist , Talent Navigation Experts ,"Title: Data Scientist  Location: Denver, CO or Houston, TX (Hybrid Remote)  Duration: Direct Hire Compensation Range (pending experience): $105-160k plus a strong bonus and top tier 401k match   About the Role: Our enterprise level client based in Denver, Co is a leading Oil and Gas producer who is committed to reducing their carbon footprint and working toward the use of more sustainable fuel resources. They are seeking a Data Scientist to join the team Full Time to work with other Data Science"," Denver, CO, USA ", Posted 3 days ago
33, Data Scientist , IT Solutions ,"Data Scientist  Location : Austin, TX Local To TX needed DESCRIPTION OF SERVICES: (Required)  The City of Austin D/B/A Austin Energy requires the services of a ""Data Analyst Sr"", hereafter referred to as Worker, who meets the  general qualification general qualifications of a ""Data Scientist Level II"" and the specifications outlined in this document for Austin  Energy.  ABOUT AUSTIN ENERGY:  Austin Energy is the 8th largest community-owned electric utility in the country. We serve more than 530,", , Posted 14 days ago
34, Lead Data Scientist , Atyeti ,"Requirements: • 10+ Years data science research or industry experience • Python proficiency -- It’s our lingua franca, and we’re big Jupyter fans • MS or PhD in CS or STEM -- Ability to transform concepts into practical solutions • Team Lead Experience – Experience leading a data science team to implement ML solutions • Machine Learning experience -- Successful implementation of ML solutions • Communication Ability -- Experience/comfort in presenting abstract concepts • Project Management Experi"," Washington, DC, USA ", Posted 1 day ago
35, Data Scientist , Carman Solutions Group ,"We are looking for an experienced NLP/ Machine Learning/ Deep Learning data scientist.  Candidate should be well versed in ML and NLP techniques and deep learning algorithms. Required Skills: 5+ years of experience working effectively with software engineering teams Exp with Prescriptive analysis, predictive analysisExp leveraging big data and search technologies (e.g Spark, Elastic Search, Natural Language Processing, Web Crawling) .Knowledge of machine learning techniques and algorithms and be", Remote , Posted 22 days ago
36, Lead Data Scientist (Part time 70%) Remote ," Esolvit, Inc. ","Job Title: Lead Data Scientist Location: Washington, DC (Remote) Job Type: Part-time/70% Duration: Long Term (Temp To Perm (Temporary resources to be converted to permanent AFS W2 after 6 months of service)   Clearance Required: Public Trust (Full Clearance required to start) Education: Bachelor’s Degree (5+ years’ experience) Visa: USC.     Technical Skills: 7-10 years of experience in Microsoft Azure Databricks  7-10 years of experience in Machine Learning 3-5 years of experience in Jenkins (S", Remote , Posted 1 day ago
37, Data Scientist Advisor ," Softworld, Inc. ","Data Scientist Advisor  Remote  12+month contract  Job Description  Deliver insights to help our clients turn data into action as a Data Scientist Advisor at Softworld client. Your work will provide transformative solutions to our clients' big-data obstacles and help advance the mission. Here, you can make a meaningful impact on our clients' mission and on your career.  At Softworld client, people are our differentiator. As a Data Scientist Advisor, you will help ensure today is safe and tomorro", Remote , Posted 7 days ago
38, Mid-Level Data scientist , Smith & Associates ,"Job Responsibilities    ·Conducts advanced data analysis and algorithm design.   ·Involves in designing experiments, testing hypotheses, and building models.   ·Ensures Statistical and predictive modeling techniques are applied to create, maintain, and enhance multiple real-time decision systems.   ·Conduct ETL design, development, and maintenance including data extraction, manipulation, analysis, source-target mapping, change data capture..etc.  ·Involves in modeling and framing business scenar"," Houston, TX, USA ", Posted 20 days ago
39, Data Scientist Advisor ," Softworld, Inc. ","Data Scientist  Remote  12+month contract  Job Description  Deliver insights to help our clients turn data into action as a Data Scientist at Softworld Client. Your work will provide transformative solutions to our clients' big-data obstacles and help advance the mission. Here, you can make a meaningful impact on our clients' mission and on your career. At Softworld Client, people are our differentiator. As a Data Scientist Advisor, you will help ensure today is safe and tomorrow is smarter. Our", Remote , Posted 8 days ago
40, Lead Data Scientist ," ORS Partners, LLC ","*THIS JOB IS FULLY ON-SITE IN COLORADO SPRINGS, CO* Actively and consistently support all efforts to simplify and enhance the customer experience.  Plan and lead the complete analytics life-cycle for problem solving, including: requirements gathering, problem formulation, data grooming, data exploration, model prototyping, model validation, and algorithm productionalization.  Leverage knowledge in analytical and statistical algorithms to help stakeholders explore methods to improve their busines"," Colorado Springs, CO, USA ", Posted 17 days ago
41, Data Scientist-100% Remote only W2 Allowed , Jade Biz Services ,"NO C2C Location: Remote Job Summary:  A Data Scientist learns the job while performing hands-on analytics and modeling. Essential Duties/Responsibilities: Adhere to our culture of humility, curiosity, and impact Process data using Python, PySpark, and Databricks Develop purchase propensity models and product recommendation models  Learn the job while performing hands-on analytics and modeling Help business partners make more profitable decisions based on customer and prospect insights Working Co", Remote , Posted 16 days ago
42, Data Scientist ," Engage Partners, Inc. ","Data Scientist / Product New York Fulltime Hybrid     Seeking a Data Scientist to join its team. The successful candidate will be responsible for developing and implementing statistical models and algorithms to extract insights from large and complex data sets and building a cloud-based architecture. The ideal candidate should have a PhD/MSc in technical majors, strong programming skills in Python and AI packages, experience in cloud-based architecture using AWS and Azure, and excellent analytic"," New York, NY, USA ", Posted 17 days ago
43, 100% Remote - Data Scientist , Prodware Solutions ,"Our client is looking to fill below position urgently, please share me your updated resume, rate and best time to speak with you.   Job Title: Data Scientist Location:   100% Remote Duration: 10+ months     Project Scope and Brief Description: (i.e. Connex, Encirca) Develops and applies innovative methods and tools to deliver insights for Corteva R&D. The candidate will partner with leading toxicologists, environmental scientists, and discovery scientists to support our growing data science effe", Remote , Posted 20 days ago
44, Data Scientist ," Technology Solutions Provider, Inc. ","TSPi is a leading-edge and trusted IT solutions provider to multiple government agencies. Using our technological expertise and industry specific knowledge, we offer our clients end-to-end solutions to address their specific challenges. We are looking for a Data Scientist with an entrepreneur’s mindset to support a fast-paced and growing data science team working on projects critical to conservation and environmental government missions. The Data Scientist will be expected to build statistical m", Remote , Posted 8 hours ago
45, Senior Data Scientist with Python ," Pyramid Consulting, Inc. ","Description: This position is for a hands-on experienced data scientist with experience in developing predictive models for business applications.The position involves working on data science projects and solutions that drive customer experience, customer service, network, and technical operations, marketing effectiveness, personalization, recommendation, and operational efficiency.The position involves developing AI/ML solutions to complex business problems, preparing and processing large data,"," Irving, TX, USA ", Posted 28 days ago
46," Geospatial Data Scientist, Junior to Senior Level, TS SCI Clearance ", EMW Staffing Solutions LLC ,"Thank you for your possible interest.   Please apply for further information.   Term: Full time Location: Onsite in Springfield VA Vertical: Services $: 85-130k   Customer is seeking an active TS/SCI clearance and programming experience (or an interest in learning python) to support a federal contract. If you are an experienced in this field and interested in joining our team, we'd love to talk to you! Senior Data Scientist Requirement: Over 10 years of Geospatial analysis experience and program"," Springfield, VA, USA ", Posted 16 days ago
47, Data Scientist w/ MMM or MTA , Randstad Technologies ,"job summary:  Minimum Qualifications Master's degree in statistics, economics, operations research, engineering, or related field Marketing mix modeling industry experience 8+ years of industry experience in data science, measurement, marketing strategy & analytics communication skills to 'tell a story' that provides insight into the business Proficient coding skills (SQL/Python/R) and database knowledge Extensive experience with predictive modeling algorithms project management skills, includin"," San Bruno, CA, USA ", Posted 20 days ago
48, Remote Job Opportunity: Immediate need for a talented Data Analyst/ Data Scientist. ," Pyramid Consulting, Inc. ","Immediate need for a talented Data Analyst/ Data Scientist. This is a full time remote job opportunity with long-term potential and is located in Atlanta, GA 30339. Please review the job description below and contact me ASAP if you are interested. Pay Range: $100,000 - $120,000 /Per year. Employee benefits include, but are not limited to, health insurance (medical, dental, vision), 401(k) plan, and paid sick leave (depending on work location). Responsibilities  3+ years of professional work expe", Remote , Posted 7 days ago
49, Data Scientist , Amtex System Inc. ,"Amtex Systems  Inc is an information technology and talent solutions company offering talent and BI consulting to the companies in US for over 20 years.  Our solutions are designed to fill resource gaps, by providing the right candidates who deliver value to the organization. Our propensity to nurture and build strong relationships with our clients helps us better understand their business demands and gives us the ability to provide services that are on time and rise above the rest.  Job Title: "," Remote or San Jose, CA, USA ", Posted 2 hours ago
50, Lead Data Scientist , Xcelligen Systems Inc. ,"Role: Lead Data Scientist  Type: Full-time W2, Contract W2, Contract Independent, Contract Corp-To-Corp Client: Customs Border Patrol (CBP) Location: Remote (Occasional travel to Arlington, VA) Duration: Long Term Rate: Depends on Experience U.S. Citizens ONLY due to legal or government contract requirement. Candidate must hold TS/SCI Security Clearance. Higher Competitive Rates will be considered for consultants with advanced skill sets.  No 3rd Parties Allowed Responsibilities: We are looking ", Remote , Posted 24 days ago
51, Data Scientist , Eliassen Group ,"We have a great opportunity for a Data Scientist with our client. This role can be fully remote, Charlotte locals preferred. Renewable energy or utilities experience highly preferred.  Due to client requirement, applicants must be willing and able to work on a w2 basis. For our w2 consultants, we offer a great benefits package that includes Medical, Dental, and Vision benefits, 401k with company matching, and life insurance.  Responsibilities of the Data Scientist:  Provide expertise in translat"," Charlotte, NC, USA ", Posted 2 hours ago
52," Data Scientist - Hybrid onsite (Tampa, FL) ", Xoriant Corporation ,"Xoriant is an equal opportunity employer. No person shall be excluded from consideration for employment because of race, ethnicity, religion, caste, gender, gender identity, sexual orientation, marital status, national origin, age, disability or veteran status.    TITLE:- Data Scientist (2 Different role)  LOCATION – Tampa, FL (Hybrid Onsite) DURATION – 12+ Months MODE OF INTERVIEW – Onsite/Zoom Rate – $75 to $85   Role 1 – Sr. Data Scientist Skills – NLP, Deep Learning , Machine Learning. Total"," Tampa, FL, USA ", Posted 21 days ago
53, Data Scientist , Yash Solutions LLC ,"This is a Hybrid, W2 only position, No C2C. Job Title: Data Scientist Employment Type: strictly W2 only Location: Hybrid, at Greenville, SC (80% WFH) Duration: long term Requirements: Candidate should have worked on actual Machine Learning use cases. Interpret Machine learning scorers. Experience deploying machine learning models is a plus. Top 3 skills: SQL, AWS (Sagemaker, Athena, Glue), and Python Development skills including libraries such as Pandas and Numpy. Must have: Machine learning exp"," Greenville, SC, USA ", Posted 44 days ago
54, Data Scientist , Rose International ,"Description **Only those lawfully authorized to work in the designated country associated with the position will be considered.**  **Please note that all Position start dates and duration are estimates and may be reduced or lengthened based upon a client's business needs and requirements.** Title: Data Scientist Duration: 05/15/2023 to 08/13/2023 Location: Los Angeles, CA, 90033  Description:  Summary: Job seekers with a short-term assignment will be rejected. Client will only be prioritizing ca"," Los Angeles, CA, USA ", Posted 23 hours ago
55, Staff Data Scientist , High Country Search Group ,"OVERVIEW: Hey, I'm Wes -- I'm a well-respected Software Engineering Recruiter representing a bleeding-edge, Machine Learning driven, Stealth Startup who is eager to hire a Staff level Data Scientist. This would be a Hybrid role in their Manhattan office where you could expect to be in-office 3 days a week with the rest of the team. Generally speaking, my client is looking for those with a minimum of 8+ years of experience in Data Science. They are targeting those who are more product-focused -- "," New York, NY, USA ", Posted 2 days ago
56, Data Scientist , Kforce Technology Staffing ,"RESPONSIBILITIES: Kforce has a client in Cincinnati, OH that is seeking a Data Scientist to join their team for a 6-month contract, fully remote.  Summary: We are a community of data scientists and engineers that work to improve the shopping experiences of our customers, both in-store and online. We leverage large volumes of data to develop powerful sciences using cutting edge machine learning, natural language processing, and mathematical techniques to improve products, processes, and systems t"," Remote or Cincinnati, OH, USA ", Posted 4 hours ago
57, Data Scientist , IT Concepts Inc ,"Overview:The Data Scientist possesses an expert level of proficiency in multiple technical disciplines. Provides expert guidance and insight into specific technologies and their application and independently performs a variety of system design and integration tasks where a specific subject matter expertise is necessary. Responsible for highly complex Information Technology projects and tools. Uses high-level functional systems analysis, design, integration, documentation and implementation metho"," Woodlawn, MD, USA ", Posted 42 days ago
58, Data Scientist , Kforce Technology Staffing ,"RESPONSIBILITIES: Kforce is looking for a Data Scientist for an enterprise client in Redmond, WA. The Data Scientist will be partnering with our UX Researchers and data teams to aggregate metrics and data related to UX Health and create dashboard(s) that make these data easy to engage with and understand. This role will be 10-20% meetings/collaboration with other team members/reviews what they are creating (heavier at beginning at project), and 80-90% heads down.  About the Team: * Conduct CME o"," Remote or Redmond, WA, USA ", Posted 2 days ago
59, Data Scientist , Peterson Technology Partners ,"As a Senior Data Scientist, you will focus on commercially-facing development projects, typically involving large, complex data sets. This typically includes statisticians, computer scientists, software developers, engineers, product managers, and end users, working in concert with partners in Oil business units. Job Description • At least 7+ years hands on experience on Data Science • Prior experience in Oil and Natural Gas domain preferred • Good knowledge of advanced statistical methods. Mine", Remote , Posted 13 days ago
60, AI Data Scientist , Meridianservices LLC. ,"Ideal Skills & Qualifications   Master’s degree in Business, Engineering, Computer Science with a focus on AI/AnalyticsA strong understanding of Data Science Modeling and Big Data ArchitectureExperience working across the business teams including product, sales, leadership and marketing on implementing Big Data/AI solutions to address their business needsProven ability to drive business results with their data-based insights - Experience overseeing the implementation of customer data models for "," Dallas, TX, USA ", Posted 60+ days ago
61, Data Analyst- Machine Learning / Data scientist , Purple Drive Technologies LLC ,"Data Analyst - Machine Learning Location – Austin TX Key Responsibilities:   Gather and prepare data from multiple sources, run statistical analyses, and communicate your findings in a clear and objective wayUnderstand the business requirements so as to formulate the problems to solve and restrict the slice of data to be exploredSolve complex problems with multi-layered data sets, as well as optimizing existing machine learning libraries and frameworksUse statistical analysis and tools to design"," Austin, TX, USA ", Posted 2 days ago
62, Data Scientist II REMOTE ," Paladin Consulting, Inc. ","Job Title:Data Scientist II Work Location: Remote Duration: Long-term contract with option to hire Education/Experience Required:Bachelor's Degree required; Master's degree preferred  Job Description & Responsibilities : Develops predictive models and conducts advanced analytics, data mining, and data visualization to influence strategic decisions through the organization.Researches and understands specific business needs related to the necessary data being sought and conducts interviews with bu", Remote , Posted 30 days ago
63, Data Scientist - Fulltime , CitiusTech ,"Data Scientist   HHP – Health Plans Market  You will be part of CitiusTech’s strong technology & consulting professionals serving 30+ health plans/payer domain-focused customers in our HHP vertical. We are well-positioned to empower health plans at every step of their digital transformation journey. We focus exclusively on delivering specialized solutions and services across the healthcare digital value chain – spanning interoperability, data & analytics, digital engineering, provider performanc", Remote , Posted 2 days ago
64, Data Scientist , Indotronix International Corp ,"Requirements for this position include the following: Bachelor’s degree in Engineering, Analytics, Data Science, Math, or Physics from an accredited college/university.A minimum of five years’ experience in a power/utility/energy industry or related professional experience.Some experience in Python (or related language) and associated libraries for machine learning. Knowledge of SQL query construction and optimizationExceptional technical writing skills.Ability to communicate complex data in a s"," Portland, OR, USA ", Posted 9 days ago
65, Data Scientist ," Zachary Piper Solutions, LLC ","Piper Companies is seeking a  Data Scientist  to join one of the nation's largest premier credit unions based out of  Mclean,VA . The Data Scientist  will implement quantitative models to analyze credit and prepayment risk, determine the allowance for loan losses, and support financial planning.  This role is Hybrid (3 days on-site in Mclean, VA). Responsibilities of the Jr. Data Scientist include:  Implement models for loan loss allowance, CECL, stress testing, new volume origination, line of c"," McLean, VA, USA ", Posted 6 days ago
66, Data Scientist , CMCI ,"Sr. Data Scientist  Why CMCI? CMCI provides management consulting and IT services that empower enterprises to achieve their business goals in today's highly competitive market. Our goal is to seamlessly integrate into each customer's organization to fully understand their business and technology needs. This approach allows us to quickly deliver high quality solutions while achieving the highest level of customer satisfaction on time and within budget. By choosing CMCI, you are choosing a company", Remote , Posted 38 days ago
