title,company,description,location,salary
AVP & Data & DevOps Engineer,First Hawaiian Bank,"Bachelor's degree with major in Computer Science, STEM field, or related field required. Master's degree with major in Computer Science, STEM field, or related","Honolulu, HI",$85.2K - $108K a year
Data Engineer,Booz Allen Hamilton,Apply consulting and technical expertise and full industry knowledge to develop innovative solutions to complex problems. TS/SCI clearance with a polygraph.,"Laurel, MD","$93,300 - $212,000 a year"
Staff Data Engineer,BP,"Leads the team to follow software & data engineering best practices (e.g., technical design and review, unit testing, monitoring, alerting, source control, code","Houston, TX",$123K - $156K a year
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer - Oracle,"Infinity Consulting Solutions, Inc.","Requires 2+ years' experience in the design, implementation and support of full life-cycle data engineering projects.","Houston, TX",
Big Data Engineer,TAA Solutions LLC,Collaborates with a highly technical user base on how to properly use the Grid and Slurm. Responsible for developing custom Amazon Machine Image's (AMI's) and,Remote,$19.29 - $85.16 an hour
Data Engineer with PL/SQL Developer,Integration Developer Network LLC,"Must have working experience with tools like Airflow, Git. Recent pl/sql development work experience with Oracle 19. PL/SQL: 8 years (Required).","Houston, TX",$65 - $75 an hour
Data Engineer,PandaDoc,"Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater","Saint Petersburg, FL","$135,000 - $170,000 a year"
Data Pipeline Engineer,Fuge Technologies Inc,_*Bachelor's degree in Computer Science/Information Technology or related field and/or equivalent experience.*_. Expert-level SQL is required.,"McLean, VA",$65 - $70 an hour
Snowflake Data Engineer,Futuretech Consultants LLC,"To ensure success as a Snowflake data engineer, you should have extensive knowledge of database design, implementation, and optimizing of large-scale data and","Newton, MS",$40 - $45 an hour
Data Engineer,GovDocs,Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for,"Saint Paul, MN","$90,000 - $120,000 a year"
Data Warehouse Engineer,PRIMUS GLOBAL SERVICES,"Recent experience developing on Oracle 19c or higher. All consultants must work on PRIMUS payroll.*. 10+ years in Data Warehousing, Informatica products, and",Remote,"$135,000 - $138,000 a year"
Snowflake Data Engineer pipeline,Findability Sciences,Translate requirements for BI and Reporting to Database design and reporting design. Understanding data transformation and translation requirements and which,"Houston, TX",$42.14 - $70.29 an hour
Sr. Data Engineer,DataPattern,"Design and develop scalable data warehousing solutions, building ETL pipelines in Big Data environments (cloud, on-prem, hybrid).","Los Angeles, CA",$65 - $75 an hour
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer - Oracle,"Infinity Consulting Solutions, Inc.","Requires 2+ years' experience in the design, implementation and support of full life-cycle data engineering projects.","Houston, TX",
Big Data Engineer,TAA Solutions LLC,Collaborates with a highly technical user base on how to properly use the Grid and Slurm. Responsible for developing custom Amazon Machine Image's (AMI's) and,Remote,$19.29 - $85.16 an hour
Data Engineer with PL/SQL Developer,Integration Developer Network LLC,"Must have working experience with tools like Airflow, Git. Recent pl/sql development work experience with Oracle 19. PL/SQL: 8 years (Required).","Houston, TX",$65 - $75 an hour
Data Engineer,PandaDoc,"Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater","Saint Petersburg, FL","$135,000 - $170,000 a year"
Data Pipeline Engineer,Fuge Technologies Inc,_*Bachelor's degree in Computer Science/Information Technology or related field and/or equivalent experience.*_. Expert-level SQL is required.,"McLean, VA",$65 - $70 an hour
Snowflake Data Engineer,Futuretech Consultants LLC,"To ensure success as a Snowflake data engineer, you should have extensive knowledge of database design, implementation, and optimizing of large-scale data and","Newton, MS",$40 - $45 an hour
Data Engineer,GovDocs,Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for,"Saint Paul, MN","$90,000 - $120,000 a year"
Data Warehouse Engineer,PRIMUS GLOBAL SERVICES,"Recent experience developing on Oracle 19c or higher. All consultants must work on PRIMUS payroll.*. 10+ years in Data Warehousing, Informatica products, and",Remote,"$135,000 - $138,000 a year"
Snowflake Data Engineer pipeline,Findability Sciences,Translate requirements for BI and Reporting to Database design and reporting design. Understanding data transformation and translation requirements and which,"Houston, TX",$42.14 - $70.29 an hour
Sr. Data Engineer,DataPattern,"Design and develop scalable data warehousing solutions, building ETL pipelines in Big Data environments (cloud, on-prem, hybrid).","Los Angeles, CA",$65 - $75 an hour
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer (Intermediate or Senior) - Hybrid,Teacher Retirement System of Texas,"Interprets complex data requests or business needs and translates into written requirements that allows for a team to design, develop, implement, troubleshoot,","Austin, TX",
Associate Integrations Data Engineer,INSPYR Solutions,"The incumbent will act as a technical resource, participating in the successful design, development, unit testing, implementation, and support of new and","Cleveland, OH",$92.7K - $117K a year
Data Engineer,MATRIX Resources,Lead moderately complex initiatives and deliverables within technical domain environments. Review moderately complex technical challenges that require an in,"Charlotte, NC",$104K - $132K a year
Data Engineer - Oracle,"Infinity Consulting Solutions, Inc.","Requires 2+ years' experience in the design, implementation and support of full life-cycle data engineering projects.","Houston, TX",
Big Data Engineer,TAA Solutions LLC,Collaborates with a highly technical user base on how to properly use the Grid and Slurm. Responsible for developing custom Amazon Machine Image's (AMI's) and,Remote,$19.29 - $85.16 an hour
Data Engineer with PL/SQL Developer,Integration Developer Network LLC,"Must have working experience with tools like Airflow, Git. Recent pl/sql development work experience with Oracle 19. PL/SQL: 8 years (Required).","Houston, TX",$65 - $75 an hour
Data Engineer,PandaDoc,"Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater","Saint Petersburg, FL","$135,000 - $170,000 a year"
Data Pipeline Engineer,Fuge Technologies Inc,_*Bachelor's degree in Computer Science/Information Technology or related field and/or equivalent experience.*_. Expert-level SQL is required.,"McLean, VA",$65 - $70 an hour
Data Engineer -Lead ( Atlanta HYBRID. ),Republic National Distributing Company,"Bachelor's/Tech School degree in Computer Science, MIS or Engineering or relevant technical field and/or commensurate years of real-world experience in software","Atlanta, GA",$91.6K - $116K a year
Oracle Data Engineer,Liberty Personnel Services,"In this role you will design, quer,y performance tuning and develop database applications. Oracle pl/sql, python, and hadoop.","Philadelphia, PA","$100,000 - $150,000 a year"
Sr. Data Center Engineer,The Judge Group,? Expert knowledge in structured cabling (fiber/copper technologies and design). ? Attend and host team and vendor meetings to plan and schedule maintenance and,"Rochelle, IL",
Snowflake Data Engineer,Futuretech Consultants LLC,"To ensure success as a Snowflake data engineer, you should have extensive knowledge of database design, implementation, and optimizing of large-scale data and","Newton, MS",$40 - $45 an hour
Data Engineer,GovDocs,Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for,"Saint Paul, MN","$90,000 - $120,000 a year"
Data Warehouse Engineer,PRIMUS GLOBAL SERVICES,"Recent experience developing on Oracle 19c or higher. All consultants must work on PRIMUS payroll.*. 10+ years in Data Warehousing, Informatica products, and",Remote,"$135,000 - $138,000 a year"
Snowflake Data Engineer pipeline,Findability Sciences,Translate requirements for BI and Reporting to Database design and reporting design. Understanding data transformation and translation requirements and which,"Houston, TX",$42.14 - $70.29 an hour
Sr. Data Engineer,DataPattern,"Design and develop scalable data warehousing solutions, building ETL pipelines in Big Data environments (cloud, on-prem, hybrid).","Los Angeles, CA",$65 - $75 an hour
"Senior Associate, Solution Engineering-Data Engineer",Convera,We are looking for a forward-thinking engineering leader as our colleague with a strong architectural mind that will partner-up with Product to build and lead a,Remote,"$130,000 - $145,000 a year"
Federal - Azure Data Engineer,Accenture,"Experience with developing ETL pipelines in one or more of the following tools: Azure Data factory, Event hubs, Event grid, Azure functions, Data Flow, Hadoop,","Atlanta, GA",
MQ-25 Configuration Management & Data Management Integration Engineer (Experienced or Lead),BOEING,"Education/experience typically acquired through advanced technical education from an accredited course of study in engineering, computer science, mathematics,","Hazelwood, MO",$101K - $127K a year
Data Center Facility Engineer - II (Seattle),Digital Realty,"Hands-on electrical or mechanical skill and competence in the area of non-expertise (for example, electrical expertise with mechanical competence, or vice-versa","Seattle, WA",
AWS Data Engineer,"CGI Group, Inc.",Work within and across Agile teams to test and support technical solutions across a full stack of development tools and technologies.,"Bloomfield, CT",$87.6K - $111K a year
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer with PL/SQL Developer,Integration Developer Network LLC,"Must have working experience with tools like Airflow, Git. Recent pl/sql development work experience with Oracle 19. PL/SQL: 8 years (Required).","Houston, TX",$65 - $75 an hour
Data Engineer,PandaDoc,"Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater","Saint Petersburg, FL","$135,000 - $170,000 a year"
Data Pipeline Engineer,Fuge Technologies Inc,_*Bachelor's degree in Computer Science/Information Technology or related field and/or equivalent experience.*_. Expert-level SQL is required.,"McLean, VA",$65 - $70 an hour
Snowflake Data Engineer,Futuretech Consultants LLC,"To ensure success as a Snowflake data engineer, you should have extensive knowledge of database design, implementation, and optimizing of large-scale data and","Newton, MS",$40 - $45 an hour
Data Engineer,GovDocs,Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for,"Saint Paul, MN","$90,000 - $120,000 a year"
Data Warehouse Engineer,PRIMUS GLOBAL SERVICES,"Recent experience developing on Oracle 19c or higher. All consultants must work on PRIMUS payroll.*. 10+ years in Data Warehousing, Informatica products, and",Remote,"$135,000 - $138,000 a year"
Snowflake Data Engineer pipeline,Findability Sciences,Translate requirements for BI and Reporting to Database design and reporting design. Understanding data transformation and translation requirements and which,"Houston, TX",$42.14 - $70.29 an hour
Sr. Data Engineer,DataPattern,"Design and develop scalable data warehousing solutions, building ETL pipelines in Big Data environments (cloud, on-prem, hybrid).","Los Angeles, CA",$65 - $75 an hour
Data Engineer (Scala),ERPMark Inc,"Mentor junior engineers on the team, Lead daily standups and design reviews, Groom and prioritize backlog using JIRA, Act as the point of contact for your","Bentonville, AR",$60 - $65 an hour
Data Engineer I,Bloom Insurance,"BA, BS, or Masters in computer science/related field preferred or an equivalent combination of education and experience derived from at least 2 years of",Remote,$84.4K - $107K a year
