,title,company,description,location,posted_date
23, Data Architect ," Synergetic Information Systems, Inc ","What is the project or projects this person will be working on? The Data Architect will be working on the TOPS replacement project, as well as other OCIO initiatives related to data management and analysis. They will be responsible for designing and implementing the data architecture for the new TOPS system, ensuring that it meets the business requirements, is scalable, and is optimized for performance. In addition, they will be responsible for identifying and implementing a cloud-based data war"," Washington, DC, USA ", Posted 23 days ago
24, Data Architect , Blue Rose Technologies LLC ,"Sr Data Architect NYC, NY – Hybrid Full Time   Skills: Data Architect, NoSQL, Big Data, SQL, SQL-like query, Relational, Json, AVRO, Data Modeling, Erwin, Hadoop, HDFS, Hive, Query Engines, Presto, Cloud (AWS / Azure)   10+ years of experience working with data and 7+ years as a data architect.Broad knowledge and experience with relational, NoSQL and Big Data concepts, environments, and common productsSolid background with SQL and SQL-like query languages, as well as various types of schema (Rel"," New York, NY, USA ", Posted 1 day ago
25, DATA ARCHITECT ," Veritis Group, Inc. ","Job Description: MUST HAVE SKILLS: - 10+ years experience with Data Modeling, Data Mapping, and Data Architecture - SQL - Integration Experience - Bachelor's Degree   NICE TO HAVE SKILLS: - Tableau - PowerBI - Azure     Principal Duties and Responsibilities:   Collaborate with business/functional leaders and teams to identify, collect and translate information requirements into data to develop data-centric solutionsImplement industry-accepted data architecture principles and standards for modeli", Remote , Posted 6 hours ago
26, Data Architect , Peterson Technology Partners ,"Our Client is looking for a Data Architect with experience in Oil & Gas Industry who can be an Individual contributor and who thinks outside of the box for finding best solutions. We are looking for Data Architects in our growing Data Analytics and Systems team to provide a leadership, vision and design expertise in building and maintaining our corporate data strategy. DA professionals will collaborate with technology and management teams to assess, understand and define standards for data gathe", Remote , Posted 13 days ago
27, Data Architect - IICS , Mastech Digital ,"Mastech Digital provides digital and mainstream technology staff as well as Digital Transformation Services for all American Corporations. We are currently seeking a Data Architect  IICS for our client in the Technology domain. We value our professionals, providing comprehensive benefits and the opportunity for growth. This is a Contract position, and the client is looking for someone to start immediately. Duration: 6+ Months Contract Location: Remote Interviews: 2 rounds of interviews (internal"," Remote or Pittsburgh, PA, USA ", Posted 17 days ago
28, Senior Data Architect , Samiti Technology Inc. ,"Our direct client is looking for Data Architect. Please find the job description below.   Role : Systems Architecture - Data Duration: 6 Months + (Contract to hire)   Candidate must be local to New York, NY office - this is a hybrid role.   Roles and Responsibilities:   Job Title: Systems Architecture - Data   Experience: 10 plus years’ experience   Additional Details: Microsoft Azure Technologies Migrating into Azure Cloud Data Lake Legacy Developer Cloud Technologies Experience of 7 plus years"," New York, NY, USA ", Posted 10 days ago
29, Data Architect , U.S. Tech Solutions Inc. ,"Location: (2 days in office, 3 from home) in any of the following locations: (Atlanta, GA / Strongsville, OH / Birmingham, AL / Pittsburgh, PA / Dallas, TX ) Duration: 5 months contract to hire   Responsibilities:   · Managing and designing solutions for C&IB data strategy   Experience:   · 8+ years of Experience   Skills:   · Data architecture design experience · Hadoop/Big Data · Oracle/ Relational/non-relational database knowledge · Informatica · Kafka · SQL/PLSQL Knowledge   Education:   • B"," Atlanta, GA, USA ", Posted 13 days ago
30, AWS Data Architect , Trinity Technology Solutions LLC ,"Job Title: AWS Data Architect Location: Columbus, OH OR Wilmington, DL OR Plano, TX (Day 1 Onsite) Job Type: Contract/Full Time   Job Description: · Coding: Proficiency in Python; Java would be a good add-on. · Cluster Computing frameworks: Proficiency in Spark. · Data Platform Services: Good understanding of what service to use and when. And expertise in data services such as: Lake formation, Glue ETL, EMR, S3, Glue Catalog, Athena, Quick Sight, Kinesis, MSK, Lambda, Step Functions, Airflow. An"," Columbus, OH, USA ", Posted 8 days ago
31, Data Architect , eSource Technology LLC ,"**local candidates strongly preferred **candidate must be able to come to Richmond, VA to pick up laptop **Microsoft Teams interviews only, must have Webcam for interview **engagement will be extended beyond 6/30, possibly 6-12+ months Responsibilities:  • Create overall application and solution architectures, component designs, and systems integration and implementations for a particular business solution. • Create data models and xml schemas at all levels including conceptual, logical, and phy"," Richmond, VA, USA ", Posted 1 day ago
32, Azure Data Architect , IDC Technologies ,"We are in Critical need of Azure Data Architect for Fulltime Hire Role : Azure Data Architect Location : RemoteDuration : Fulltime HireJob Description : We are seeking candidates who possess both *hands-on* experience and architecture skills in the below technology stacks. This includes developing architecture best practices, and accelerators, conducting code reviews, implementing coding best practices, as well as optimizing costs and performance.The ideal candidate should have implemented at le", Remote , Posted 4 days ago
33, Solutions/Data Architect ," V.L.S. Systems, Inc ","Role: Solutions/Data Architect Location: 100% Remote- VA Duration: 06-12 Months Interview: Skype/WebEx/Video   **local candidates strongly preferred **candidate must be able to come to Richmond, VA to pick up laptop **Microsoft Teams interviews only, must have Webcam for interview **engagement will be extended beyond 6/30, possibly 6-12+ months   Responsibilities: Create overall application and solution architectures, component designs, and systems integration and implementations for a particula"," Remote or Richmond, VA, USA ", Posted 1 hour ago
34," Data Architect - Atlanta, GA or Remote ", CRH Americas Inc ,"CRH's Americas Materials, a division of CRH, is the leading vertically integrated supplier of aggregates, cement, asphalt, readymixed concrete and paving and construction services in North America.  Our operations span North America with 28,100 employees at close to 1,600 locations in 46 US States and 6 Canadian provinces.   Americas Material (AMAT), a subsidiary of CRH Americas is the leader in manufacturing of building products and materials in North America.  AMAT is going through major techn"," Remote or Atlanta, GA, USA ", Posted 8 days ago
35, Principal Data Architect , International Solutions Group ,"Here is our open requirement which can be filled immediately. Kindly respond to this requirement with your contact info and required details to speed up the interview process.   Job Title: Principal Data Architect Location: Gresham, VA / Remote Duration: 12+ Months  Primary Skills: Data Architect  Description: Formulate and define business scope and objectives through research and fact-finding combined with an understanding of business and industry requirements Perform functional analysis, requi", Remote , Posted 20 days ago
36, Data Architect , Randstad Technologies ,"job summary:  We are looking to add a seasoned Data Architect with a heavy focus on Analysis, Design and Documentation as a key member of the Data Infrastructure team of a multi-billion-dollar global asset management company. Candidates must have extensive experience with SQL Server Architecture, Engineering, Analytics and Governance with significant technical expertise in Azure Cloud data platforms. Required Skills: SQL Server; Azure Synapse Database Architecture Job Duties: The Data Architect "," Remote or New York, NY, USA ", Posted 36 days ago
37, Senior Data Architect , Syeta Inc ,"Role : Senior Data Architect Description : · 10+ years of experience working with data and 7+ years as a data architect. · Broad knowledge and experience with relational, NoSQL and Big Data concepts, environments, and common products · Solid background with SQL and SQL-like query languages, as well as various types of schema (Relational, Json, AVRO, etc.) · 5+ years’ experience with common data modeling tools, such as Erwin, and conversion between various types of schema · Expertise in Big Data "," New York, NY, USA ", Posted 2 days ago
38, Sr. SQL Server Data Architect , SGIC Cloud Technologies Inc. ,"Title  : Sr. SQL Server Data Architect Location  : San Jose, CA Duration  :12 Months + Rate  : Open Locals are preferred Required: Experience10 years of experience and expertise in database and systems architecture design, development and implementation; 10 years of expertise and experience in data structures, indexing, query, and retrieval; Excellent data management skills including ensuring data integrity, data access, security and archiving procedures; Knowledge of the language technology and"," San Jose, CA, USA ", Posted 7 days ago
39, Data Architect , Akshaya Inc ,"Job Title: Enterprise Data Architect Job Type: Contract (W2) Location: Dallas, TX / Miramar, FL (Some days in a month from office when required) What We're Looking For  Bachelor's degree in Computer Science or equivalent experience.10+ years’ experience in Enterprise Data Architecture.10+ years’ experience working in and with data lakes, data warehouses, streaming platforms, and cloud platforms.7+ years’ experience in implementing dimensional/relational modeling using data modeling tools such as"," Dallas, TX, USA ", Posted 10 days ago
40, Azure Data Architect , Quantum Integrators Group LLC ,"Company Profile: Quantum Integrators is an international strategy and business consulting group whose mission is to help clients create and sustain competitive advantage. As a truly client-focused firm, our highly trained and experienced consultants consider it their mandate to help client organizations achieve a 'quantum state'. Role: Sr. Data Architect (Azure) Location: Morristown, NJ (Onsite from Day-1 and it would be4 days/week) Duration: 12 months, with possible extension    Job Description"," Morristown, NJ, USA ", Posted 3 hours ago
41, Sr Data Architect , Nava Software Solutions ,"NAVA Software solutions is looking for a Sr Data Architect Details:  Sr Data Architect Location:  Hybrid - Indianapolis, IN  Duration: 6-12 months As the Senior Data Architect, you will be responsible for architecting, designing, and overseeing the implementation of end-to-end data-driven solutions. Must be highly analytical and have the proven ability to develop and reverse complex engineering solutions. Critical thinking and advanced problem-solving skills are core behaviors in the team. Stron"," Indianapolis, IN, USA ", Posted 13 days ago
42, Data Architect ," Computer Enterprises, Inc. ","Title: Data Architect Summary: CEI’s financial services client is adding a Data Architect to their team based out of Atlanta, GA; Strongsville, OH; Birmingham, AL; Pittsburgh, PA orDallas, TX. Job at a glance: 5-month contract to hire/ permanent placement$76-$82/hr.Hybrid work (2 days in the office, 3 from home) must be local to one of these hubs:Responsibilities: Data architecture within the Corporate & Institutional Bank on a team of 10 architectsUnderstand needs from a data and architecture p"," Pittsburgh, PA, USA ", Posted 10 days ago
43, Data Architect (W2 opportunity) , XFORIA Inc ,"Role & Responsibility:  Develop and maintain the organization's data architecture by designing, building, and maintaining data models, data dictionaries, and data flow diagrams.Collaborate with cross-functional teams to understand business requirements and translate them into data solutions.Identify data gaps and inconsistencies and develop strategies to address them.Develop and implement data standards and best practices.Develop and implement data integration strategies and oversee data integra", Remote , Posted 13 days ago
44, Azure Data Architect , ResolveTech Solutions Inc. ,"Azure Data Architect Location ; Remote, USA This project includes creating ETL processes to migrate from the existing system into the new data warehouse format. Additionally building Synapse pipelines to move the data from on-premises into a data lake in Azure. JOB DESCRIPTION This position will require qualified T-SQL Developers to take the lead in the following tasks: •Rationalizing and mapping data between transactional and dimensional databasemodels/systems •Working closely with the database", Remote , Posted 10 days ago
45, Data Architect IV (Contractor) , Signature Consultants ,"Designs and builds relational databases for data storage or processing. Develops strategies for warehouse implementation, data acquisition, and archive recovery. Cleans and maintains the database by removing and deleting old data. May evaluate new data sources for adherence to the organization's quality standards and ease of integration. May require a bachelor's degree in a related area and at least 8+ years of experience in the field or in a related area. Has knowledge of commonly-used concepts"," Vinings, GA, USA ", Posted 14 days ago
46, Azure Data Architect , Innominds Software ,"Role: Azure Data Architect Duration: Fulltime Location: Remote Job Description: You are an expert in Azure Data Analytics having thorough understanding of Azure Data Platform toolsExpertise and hands-on experience in at least 4 tools on Azure Platform among: Data Factory, Data Bricks, Synapse, Data Lake Gen2, Stream Analytics, Azure Spark, Azure MLExpertise in SQL Server DB, or Cosmos DBCollaborate with project stakeholders like database administrators, technical architects, , business analysts,", Remote , Posted 10 days ago
47, Data Architect with Retail background , Maxus Technology USA LLC ,"We are looking for Data Architect with Retail background at Nashville, TN for 6 months+ contract role. Position: Data Architect with Retail background Location: Nashville, TN Duration: 6 months+ contract   Job Description Years of IT:Years as Data Architect:Years with RDMS:Years of noSQL:Years of Couchbase:Years designing Data Flows:Years of Azure Data Lake Storage (ADLS):What retail clients have you worked for:"," Nashville, TN, USA ", Posted 2 hours ago
48, Data Architect , SUNRAY INFORMATICS ,"Role       : Data Architect Location: Pittsburgh, PA Duration: 12 months MOI  : Telephonic & Skype Primary Skills: SQL, ETL tools, NoSQL, Oracle, and master data management solutions. Need Candidates with a minimum of 12 Years of experience. This is a 100% Onsite/Hybrid model. This is C2C Position only, with No PST Candidates. Preferred Insurance and Healthcare Domain. Description: Bachelor's Degree in a related field with 7 years of relevant work experience OR 11 years total relevant work exper", Remote , Posted 8 days ago
49, SAP Data Architect , Combined Computer Resources ,"looking for an data architect that is SAP expert which has worked with brining SAP data into a data lake /  data mesh / or virtualized for meshing.  There is some data in Hana but it isnt economical to mesh directly with Hana.  BW is the usual option but then we are building more traditional DWH style which doesn’t make sense.  And some data is still on ECC.   Good knowledge of SAP data structure covered by MM,PP,WM, SD, CO, QM with ECC, BWObjective is to work with business team and IT team to e", Remote , Posted 3 days ago
50, Azure Data Architect , Swanktek ,"Title  : Azure Data Architect Location  : Scottsdale, AZ, Woonsocket, RI (Onsite) Duration : Fulltime   Job Description: Experience with RDBMS-Oracle, Nosql-cosmosdb. Handle enterprise data migration, planning & strategy,Data security/encryption.Knowledge of Azure Data & Analytics PaaS Services: Azure Data Factory, Azure Data Lake, Azure Synapse Analytics, Azure Databricks, Azure IoT,Azure HDInsight + Spark, Azure Cosmos DB, Azure Databricks, Azure Stream Analytics and Azure SQL DB"," Scottsdale, AZ, USA ", Posted 30 days ago
51, AWS Data Architect (Data Migration , Virtusa Corporation ,"Job Title   : AWS Data Architect (Data Migration) Job Location:  Columbus OH / Wilmington DL/ Plano TX (Day 1 onsite / Hybrid model)  Contract/ Full Time JD Coding: Proficiency in Python; Java would be a good add-on.Cluster Computing frameworks: Proficiency in SparkData Platform Services: Good understanding of what service to use and when. And expertise in data services such as: Lake formation, Glue ETL, EMR, S3, Glue Catalog, Athena, Quick Sight, Kinesis, MSK, Lambda, Step Functions, Airflow. A"," Plano, TX, USA ", Posted 10 days ago
52, Data Architect , Mzeesoft LLC ,"Mandatory Skills: Google Data Products BigQuery, Big Table, Dataflow, Dataproc, AI Building Blocks, Looker, Cloud Data Fusion, Dataprep, Streaming + Batch, Cloud Storage, Cloud Dataflow, Data Proc , DFunc, Big Query Role Description Skills:• Strong understanding of Google Cloud Platform environment (PaaS, IaaS) and experience in working with Hybrid model• Experience on at least 2 sizeable Google Cloud Platform projects as an Architect, preferably both migration and new setup.• Minimum of 10 year"," Seattle, WA, USA ", Posted 16 days ago
53, Sr. Data Architect , SA Technologies Inc ,"Job Title: Sr. Data Architect Location: Remote (Must work in PST hours) Duration: Long Term   Sr. Data Architect (Overall 15+ yrs, relavent 6+ yrs) Design and implement data collection, storage, transformation, distribution, and usage. Focused on Data Warehouse, ETL, Data Lake, CMDB.Identifying data sources, both internal and external, and working out a plan for data management that is aligned with data strategy.Managing end-to-end data architecture, from selecting the platform, designing the te", Remote , Posted 2 hours ago
54, Senior Data Architect ," Elicere, Inc. ","US Citizens able to get a Public Trust Clearance ONLY for Direct Hire Role! Location: Sterling, VA hybrid with 4 days remote and 1 day onsite per week  We immediately need a Senior Data Architect to support a DHS Program.  This is a direct-hire role with our client, an award-winning Federal Integrator.  T   Qualifications: Clearance: US Citizen able to obtain Public Trust - DHS/FEMA badge preferredCertifications: Cloud Data Architect Professional certification preferredDesigns strategies for ent"," Sterling, VA, USA ", Posted 13 days ago
55, Data Architect , Metropolitan Council ,"The Metropolitan Council is the regional planning agency for the Minneapolis/St. Paul metropolitan area providing essential services to our region: transportation, wastewater treatment, growth and development of local communities, affordable housing programs, and regional park systems. More information at .metrocouncil.org. This is a full-time long-term temporary opportunity (up to 2 years). This position is fully eligible for the Council’s generous benefits package. The Data Architect works in "," Saint Paul, MN, USA ", Posted 15 days ago
56, Data Architect , Apolis ,"DATA GOVERNANCE ENGINEER Location - Remote  Experience 10to12Yrs   Required skill- Data Stewardship , DataOps, MDM Functional Analysis DataOps   Implement data management standards, policies, and processes enhancing the quality and completeness of the organization’s data under the guidance of the Data Governance Program Manager. Work with the enterprise architecture team to create architecture, support design, implementation, and delivery of enterprise Data Governance solutions, ranging from var", Remote , Posted 17 days ago
57, Data Architect (100% remote) , Prudent Technologies and Consulting ,Required Skills Data Architect with Clinical Data ExperienceMust have experience with Clinical data working in a healthcare organizationExperience working with patient dataIdentity source dataData mappingShould have experience with Azure or EPIC (EMR)Provide guidance on data migrationmust have medical data literacy, Remote , Posted 1 day ago
58, Data Architect (ServiceNows CSDM) ," Russell, Tobin & Associates ","Job Title: Data Architect(ServiceNow’s CSDM) Location : Alpharetta, GA Duration: 12 months Hybrid for 3 days. Hybrid- 3 days a week in office Potential to convert   This position is for a data architect/modeler. The main project will be to create, document and maintain enterprise-wide data models to represent IT infrastructure and its relationship with business applications. The organization is looking to adopt ServiceNow’s CSDM data model, however the scope of this position is beyond ServiceNow"," Alpharetta, GA, USA ", Posted 3 days ago
59, Sr. Data Architect , SA Technologies Inc ,"Sr. Data Architect (Overall 15+ yrs, relavent 6+ yrs) Design and implement data collection, storage, transformation, distribution, and usage. Focused on Data Warehouse, ETL, Data Lake, CMDB. Identifying data sources, both internal and external, and working out a plan for data management that is aligned with data strategy. Managing end-to-end data architecture, from selecting the platform, designing the technical architecture, design deployments, and developing the application to finally testing ", Remote , Posted 2 hours ago
60, Data Architect(Cyber Security) , Mansai  Corporation ,"Develops data architecture concepts and works on the capabilities phases of the network and systems life cycle; translates technology and environmental conditions (e.g., law and regulation) into secure data flow control data-at-rest designs and processes. Ensures that the stakeholder data security requirements necessary to protect the organization’s mission and business processes are adequately addressed in all aspects of cyber architecture including reference models, segment and solution archit"," Monson, ME, USA ", Posted 8 days ago
61, Data Architect , Quest Global Services ,"Roles & Responsibilities:  Looking to add a I.T. Architect team member with 5-7 years’ experience to build IT infrastructure and develop code through existing and future tools that houses ERP, PLM, and MES data. Maintain and Develop back end code Support system upgrades and data migrationDevelop reporting tools for business applicationRequired Skills (Technical Competency): Must have coding skills in C+,C++Experience with Python and SQLDevelopment experience with Power BI, Tableau and Business O"," Troy, OH, USA ", Posted 29 days ago
62, Data Architect (Banking / Financials Domain) ," Radiansys, Inc. ","Data Architect  Remote    Job Description  Need a person who has good Experience in (Banking / Financials Domain)   Design and implement effective database solutions and models to store and retrieve company data.Examine and identify database structural necessities by evaluating client operations, applications, and programming.Assess database implementation procedures to ensure they comply with internal and external regulations.Install and organize information systems to guarantee company functio", Remote , Posted 7 days ago
63, Data Architect ," Datum Software, Inc. ","Job Details: Job Title: Data Architect  Duration: Long-Term Contract Location: Atlanta, GA || Hybrid   Job Description: The Data Architect will provide technical leadership and strategic direction for enterprise data engineering, reporting, and analytics initiatives reporting to the Director of Data Service, BI, and Reporting.Responsibilities include partnering with business leaders, Enterprise Architecture team, Business intelligence, and application development teams in building products and s"," Atlanta, GA, USA ", Posted 14 days ago
64, Enterprise Cloud Data Architect (Pharmaceutical Firm) ," IRIS Software, Inc. ","Our Client is currently seeking an Enterprise Cloud Data Architect (Pharmaceutical Firm) This role will provide technology leadership for the organization to understand their operational issues on their application portfolio, identify root cause of the issues and identify short-term and long-terms solutions to help build a roadmap for implementation of these solutions.  They will be also responsible to identify and setup necessary operational processes such as monitoring, automation to improve r", Remote , Posted 3 days ago
65, Data Architect & Databricks , HL Solutions LLC ,"Data Architect & Databricks Locations: Mt Laurel,NJ Raleigh, NC Charlotte,NC Fort Lauderdale,FL Full time-Onsite    Job Description As a Azure Principal Data Architect, you will be responsible for: Strategic planning and hands-on engineering of Big Data and cloud environments that support our clients’ advanced analytics and data science initiatives.Provide support in defining the scope and sizing of workWorking closely with various enterprise architects Information security teams, Data managemen"," Fort Lauderdale, FL, USA ", Posted 1 day ago
