index,title,company,skills,location,posted_date,type,salary
407,Data Engineer,Mastech Digital,Data Engineer,"Smithfield, RI",4/7/2023,"Contract: W2, Independent, 9+ month(s)",$65.00 - $75.00 per hour
408,Data Engineer,Randstad Technologies,Data Engineer,"Smithfield, RI",4/9/2023,Contract: W2,USD79 - USD80
409,Data Engineer,Prontoux INC,Data Engineer,Remote,4/3/2023,Remote,Depends on Experience
410,Data Engineer,Xplora Search Group,data engineer,Remote,4/3/2023,Remote,"$100,000 - $125,000"
411,Data Engineer,Randstad Technologies,Data Engineer,"Charlotte, NC",4/5/2023,Full Time,USD60 - USD70
412,Data Engineer II,Randstad Technologies,Data Engineer II,"Jacksonville, FL",4/8/2023,Full Time,"USD90,000 - USD110,000"
413,Data Engineer,Randstad Technologies,Data Engineer,"Waukesha, WI",3/28/2023,Contract: W2,USD50 - USD60
414,Data Engineer/Scientist,Randstad Technologies,Data Engineer/Scientist,"Remote or Chicago, IL",4/10/2023,Remote or Onsite,USD68 - USD69
415,Sr. Data Engineer,Beacon Hill Staffing Group,Sr. Data Engineer,"Milwaukee, WI",4/14/2023,Full Time,
416,Sr. Data Engineer,Beacon Hill Staffing Group,Sr. Data Engineer,"Milwaukee, WI",4/14/2023,Full Time,
417,Data Engineer IV,Randstad Technologies,Data Engineer IV,"Remote or Charlotte, NC",4/5/2023,Remote or Onsite,USD69 - USD79
418,Data Engineer (SQL),Vaco Technology,Data Engineer (SQL),"Charlotte, NC",4/12/2023,Full Time,$130000 - $140000 per annum
419,Senior Data Engineer,Randstad Technologies,Senior Data Engineer,"Kansas City, MO",4/12/2023,Contract: W2,USD80 - USD85
420,Data Engineer,Henderson Scott Limited,Data Engineer,"Austin, TX",3/24/2023,Full Time,$150000.00 - $170000.00 per annum
421,Senior Data Engineer,Mastech Digital,Senior Data Engineer,"Remote or Stamford, CT",4/7/2023,Remote or Onsite,Market
422,AWS Data Engineer,Codeforce 360,AWS Data Engineer,"Malvern, PA",4/6/2023,"Contract: Corp-To-Corp, 6 month(s)",
423,Data Engineer/Developer,Randstad Technologies,Data Engineer/Developer,"Charlotte, NC",4/5/2023,Contract: W2,USD60 - USD70
424,Data Engineer,M9 Consulting,"Data Engineer, GCP, ETL, Jenkins","Atlanta, GA",4/14/2023,Full Time,"$100,000 - $140,000"
425,Cloud Data Engineer,SmartIMS Inc.,"Data Engineer, Cloud Data Engineer, AWS, RDS, SQL, Python, Kafka, Spark","Pennington, NJ",4/12/2023,"Contract: Independent, W2, Corp-To-Corp, 12 Month(s)",Depends on Experience
426,Data Engineer,DataFactZ,"Data Engineer, Teradata, AWS Redshift","Jersey City, NJ",4/5/2023,"Contract: W2, 12 Month(s)",Depends on Experience
427,Azure Cloud Data Engineer,"E-Solutions, Inc.","Azure, informatica, Data Engineer","Mount Laurel, NJ",4/12/2023,Full Time,
428,Sr Azure Data Engineer,iTechStack,"Azure Data Factory, Python, Datavricks, SQL, Synapse Analytics, Parque and Delta tables, Azure SDK, Azure Data engineer, Azure Engineer, Data Engineer","Warren, NJ",4/12/2023,"Contract: W2, Independent",$0 - $0
429,Senior Data Engineer,"Niha Technologies, Inc.",Data Engineer,"Louisville, KY",3/16/2023,Contract: W2,"$80,000 - $100,000"
430,Data Engineer,Factspan Inc,"Data Engineer, Scala, python, aws, spark",Remote,4/11/2023,Remote,Depends on Experience
431,Senior/Principal Data Engineer,"ADG Tech Consulting, LLC.","Python, Databricks, Data Engineer, ETL, Data Analysis","Washington D.C., DC",4/13/2023,Full Time,$70+
432,Data Engineer/Architect,"SmallArc, Inc","Snowflake, Fivetran, dbt, Tableau, Data Engineer, Data Architect","Seattle, WA",4/5/2023,Contract: W2,Depends on Experience
433,Sr Cloud Data Engineer,Randstad Technologies,Sr Cloud Data Engineer,,4/10/2023,Contract: W2,USD80 - USD90
434,Snowflake Data Engineer,AK IT Services Inc,"Snowflake, Data Engineer, ETL, Transformations, rows","Maryland City, MD",4/4/2023,"Contract: Independent, W2, 6 Month(s)",Depends on Experience
435,Mid-Level Data Engineer,Experis,Mid-Level Data Engineer,"Glen Allen, VA",3/22/2023,Full Time,
436,Data Engineer (Flink),Trinity Globaltech,"Data Engineer, Azure, Flink","Dallas, TX",3/29/2023,"Contract: W2, Independent, 12 Month(s)",$60+
437,AWS Data Engineer,AdientOne LLC,"AWS, Data Engineer, data warehousing, infrastructure, ETL, data integration, data infrastructure",Remote,4/11/2023,Remote,$70 - $75
438,Data Engineer (Senior Technology Analyst) (JO#5883),Judicial Council of California,Data Engineer,"San Francisco, CA",3/20/2023,Full Time,"$87,204 - $130,812"
439,Data Engineer/ Architect,"Vision Integration Technologies, Inc.","Data Engineer, Architect, AWS, Databricks","Troy, MI",3/27/2023,Full Time,Depends on Experience
440,"Data Engineer | $130k | Hybrid onsite Columbus, OH",Vaco Technology,"Data Engineer | $130k | Hybrid onsite Columbus, OH","Columbus, OH",4/15/2023,Full Time,
441,Data Engineer,Technovert,"Data Engineering, Data Engineer, SQL, DataStage, ETL, Python, data management, data manipulation, data warehouse, time management, problem solving skills",Remote,4/12/2023,Remote,Depends on Experience
442,Informatica IICS Data Engineer - Hybrid,Randstad Technologies,Informatica IICS Data Engineer - Hybrid,"Chicago, IL",4/8/2023,Full Time,"USD110,000 - USD120,000"
443,Data Engineer - Spark/Azure (Charlotte) x2,Experis,Data Engineer - Spark/Azure (Charlotte) x2,"Charlotte, NC",4/12/2023,Contract: W2,
444,AWS Data Engineer,Neal Analytics LLC,"Data Engineer, Python, SQL, Snowflakes, Dataiku, AWS",Remote,4/6/2023,Remote,"$130,000 - $135,000"
445,Azure Data Engineer(Power BI),"Activesoft, Inc.","azure, data engineer, powerbi, etl, data integration, data migration","Jersey City, NJ",4/5/2023,"Contract: W2, Independent",Depends on Experience
446,Data Engineer - Snowflake & Python,Kaizen Technologies,"Snowflake, snow flake, Python, SQL, DATA Engineer","Charlotte, NC",4/13/2023,"Contract: Independent, Corp-To-Corp, W2, 12 Month(s)",Depends on Experience
447,"Data Engineer (AWS, Python, SQL)",Randstad Technologies,"Data Engineer (AWS, Python, SQL)",,4/5/2023,Contract: W2,USD69 - USD70
448,Data Engineer/ Admin (Fulltime),Delviom LLC,"Data Engineer, SQL Administration, PowerBI, Tableau, SAS","Fort Worth, TX",4/11/2023,Full Time,Depends on Experience
449,Data Engineer - AWS,Inspire Recruitment Inc.,"Amazon Web Services, Business Intelligence, Data Modeling, Data Warehousing, ETL, Modeling / Data, T - SQL, data integration, data engineer",Remote,3/31/2023,Remote,"$100,000 - $130,000"
450,Data Scientist-100% Remote only W2 Allowed,Jade Biz Services,"Python, Data Scientist, Databricks",Remote,3/28/2023,Remote,
451,Data Scientist,"Engage Partners, Inc.","AI, Data Scientist, Python, ad - hoc analysis, analytical skills, cloud - based architecture, communication skills, computer science, machine learning, physics, predictive models, verbal communication","New York, NY",3/27/2023,Full Time,Depends on Experience
452,Data Scientist,Darwin Recruitment,Data Engineering,"Chicago, IL, IL",4/15/2023,Full Time,$100000.00 - $120000.00 per annum
453,Data Scientist,ABN TECH CORP,"Python, Machine learning, Arima, Sarima, Data Scien*","San Francisco, CA",4/14/2023,"Contract: Corp-To-Corp, W2, Independent, 12 Month(s)",$60 - $70
454,Data Scientist,"Technology Solutions Provider, Inc.","Data Science, Python",Remote,4/13/2023,Remote,Depends on Experience
455,Senior Data Scientist with Python,"Pyramid Consulting, Inc.","data scientist, Python, AI, ML","Irving, TX",3/16/2023,"Contract: Corp-To-Corp, W2, Independent, 30 Month(s)",$70 - $90
456,Data Scientist w/ MMM or MTA,Randstad Technologies,Data Scientist w/ MMM or MTA,"San Bruno, CA",3/24/2023,Contract: W2,USD60 - USD80
457,"Geospatial Data Scientist, Junior to Senior Level, TS SCI Clearance",EMW Staffing Solutions LLC,"Geospatial, Data Scientist, ESRI","Springfield, VA",3/28/2023,Full Time,"$85,000 - $130,000"
458,Data Scientist,Denken Solutions,"Classical ML, Statistics Structured, Performance metrics, Data pre-processing, Neural or NLP, AB testing","Remote or Remote, WI",4/14/2023,Remote or Onsite,USD Depends on Experience
459,Remote Job Opportunity: Immediate need for a talented Data Analyst/ Data Scientist.,"Pyramid Consulting, Inc.","Data Analyst, Data Scientist, ETL, PowerBI, Tableau",Remote,4/6/2023,Remote,"$100,000 - $120,000"
460,"Data Scientist, Candidates Must be local to Georgia",Taras Technology LLC,"Data Scientist, NLP, Deep learning, text mining, Probabilistic, PySpark, Java, Hadoop, Hive, Spark","Alpharetta, GA",4/14/2023,"Contract: Corp-To-Corp, W2, 8 Month(s)",$65 - $70
461,Data Scientist,Amtex System Inc.,"Python, Java, AWS, GCP, C/C++, Data, Perl, BIGQUERY, SCIENTIST, vertex AI","Remote or San Jose, CA",4/13/2023,Remote or Onsite,
462,Data Scientist,"Zachary Piper Solutions, LLC",,"McLean, VA",4/15/2023,Full Time,
463,Lead Data Scientist,Xcelligen Systems Inc.,"Python, Postgres, Tableau, Oracle, SQL, OCR, Artificial Intelligence, Business Intelligence, NLP, ETL, AI, Data Scientist, Database",Remote,3/20/2023,Remote,Depends on Experience
464,"Data Scientist w/database technologies, including Oracle, SAP, DB2, Teradata, SQL Server, SAP HANA, MySQL 100% Remote",Zeektek,"Data Scientist, Python, Teradata, Oracle, SQL Server, Data Science",Remote,4/14/2023,Remote,$70 - $75
465,"Data Scientist - Hybrid onsite (Tampa, FL)",Xoriant Corporation,"Data Science/Data Scientist, Machine Learning/ML, NLP, Oracle, Python/R, SQL, Big DAta, Data analyst","Tampa, FL",3/23/2023,"Contract: W2, 12 Month(s)",$80 - $85
466,Data Scientist,Eliassen Group,,"Charlotte, NC",4/13/2023,Contract: W2,
467,"Data Scientist (Machine Learning) || Sunnyvale, CA (Onsite from Day1) || Contract",Spar Information Systems,"Python, Machine Learning, Data Scientist, Scikit Learn, Arima, SARIMA, prophet, LSTM, pandas, Pytorch","Sunnyvale, CA",4/14/2023,"Contract: W2, Corp-To-Corp, 12+ Month(s)",
468,Data Scientist,Yash Solutions LLC,"Data Scientist, Machine Learning, Python, AWS, Sagemaker, Athena, Glue, SQL","Greenville, SC",2/28/2023,Contract: W2,Depends on Experience
469,Staff Data Scientist,High Country Search Group,"Data Science, PHD, MLOps, NLP","New York, NY",4/11/2023,Full Time,"$170,000 - $215,000"
470,Data Scientist,IT Concepts Inc,"statistical analysis, machine learning, ML model, Natural Language Processing, NLP, SQL, advanced queries, Python, SAS, R Program, Enterprise Data, data manipulation, data visualization, Data Analytics, Tableau, Data Scientist, Data Science","Woodlawn, MD",3/2/2023,Full Time,"$100,000 - $140,000"
471,Data Scientist,Kforce Technology Staffing,,"Remote or Cincinnati, OH",4/13/2023,Remote or Onsite,$47 - $51 hourly
472,Data Scientist,Kforce Technology Staffing,,"Remote or Redmond, WA",4/11/2023,Remote or Onsite,$55 - $70 hourly
473,Data Scientist,Peterson Technology Partners,"Data Mining, Data Science, Decision Trees, Keras, NLTK, Natural Gas, Machine Learning, Text Mining, TensorFlow, modeling / data",Remote,3/31/2023,Remote,Depends on Experience
474,Data Analyst- Machine Learning / Data scientist,Purple Drive Technologies LLC,"C +, Clustering, C + +, D3 . js, Data Scientist, Decision Trees, Machine Learning, Data Analyst, Generalized Linear Model, Deep Learning, Neural Networks, Hadoop, K - Means, Matplotlib, MATLAB, NoSQL, MongoDB, Java, D3, SQL, analytical skills, Plotly, Tableau, attention to detail, data structures, Qlik, Python, data visualization, data modeling, unsupervised, Regression, R, data mining, database design, Scala, naive Bayes, statistical analyses, statistical analysis, unsupervised machine learning","Austin, TX",4/11/2023,Full Time,Depends on Experience
475,AI Data Scientist,Meridianservices LLC.,Data Scientist,"Dallas, TX",2/9/2023,Full Time,Depends on Experience
476,Data Scientist - Fulltime,CitiusTech,"data science, Elastic Search, MongoDB, multivariate testing, predictive analytics, statistical analysis, Pandas, Pig, Python, Scala, data modeling, machine learning",Remote,4/11/2023,Remote,Depends on Experience
477,Data Scientist,Indotronix International Corp,"Analytics, Python, sql, data science","Portland, OR",4/4/2023,"Contract: W2, 6 Month(s)",$100 - $110
478,Data Scientist,CMCI,"Data Scientist, Business Objects, Cluster Analysis, Data Scientists, Hadoop, Java, Kafka, Natural Language Processing, PowerBI, Python, R, project management, project plans, SPSS Modeler, SPSS, Scala, Tableau, data analysis, SAS",Remote,3/6/2023,Remote,Depends on Experience
479,Data Scientist,Apex Systems,,"Richmond, VA",4/6/2023,Full Time,
480,Data Scientist - NLP,ADDSOURCE,"Python, SQL, Kafka, NLP, DATA SCIENCE","Remote or Jersey City, NJ",4/11/2023,Remote or Onsite,
481,Data Scientist,Motion Recruitment,,"Los Angeles, CA",4/7/2023,Full Time,
482,Sr Data Scientist,"ATR International, Inc.",,"San Mateo, CA",4/14/2023,Full Time,
483,Contract Data Scientist,ALTA IT Services,"power bi, tableau, cloud computing, automated pipeline building, data modeling, SQL, Python","Cincinnati, OH",4/6/2023,Contract: W2,Up to $80
484,,,,,,,
485,,,,,,,
486,Data Scientist,Xcelo Group Inc,,"Remote or Dallas, TX",4/4/2023,Remote or Onsite,
487,,,,,,,
488,Data Scientist,Robert Half,"Python, Computer, SQL, Mathematical","CHICAGO, IL",4/14/2023,Full Time,$100000.00 to $125000.00 yearly
489,Data Scientist,Dew Software,"Data Scientist, Machine Learning, communication skills, data architecture, problem - solving skills, Python, data engineering",Remote,2/14/2023,Remote,Depends on Experience
490,,,,,,,
491,,,,,,,
492,Data Scientist 2,Kforce Technology Staffing,,"Remote or Redmond, WA",4/10/2023,Remote or Onsite,$40 - $52 hourly
493,Data Scientist,"TSR Consulting Services, Inc.","Python, Matlab, Oracle, SQL, Consulting","Princeton, NJ",4/13/2023,"Contract: Corp-To-Corp, W2, Independent",
494,,,,,,,
495,,,,,,,
496,Data Scientist Lead,Wipro Ltd.,,"Tampa, FL",4/14/2023,Full Time,
497,Data Scientist,Odesus,"AI, Artificial intelligence, Python, R, SQL, DBMS, SAS, Stata, SPSS, Sagemaker, TensorFlow, Kafka, Spark, Hadoop","Los Angeles, CA",4/10/2023,Full Time,"$120,000 - $175,000"
498,Senior Data Scientist,Eliassen Group,,"Herndon, VA",4/7/2023,Contract: W2,
499,Lead Data Scientist,Eliassen Group,,"Herndon, VA",4/7/2023,Contract: W2,
500,Data Scientist,Jobot,,"New York, NY",4/4/2023,Full Time,"$120,000 - $140,000 per year"
501,Data Scientist II,Pax8,,"Remote or Greenwood Village, CO",4/8/2023,Remote or Onsite,
502,Data Scientist,Robert Half,"SQL, Excel, Python","Cherry Hill, NJ",4/9/2023,Full Time,$100000.00 to $120000.00 yearly
503,Data Scientist,Motion Recruitment,,"Houston , TX",3/29/2023,Full Time,
504,Data Scientist,Maddisoft,,"Houston, TX",3/28/2023,"Full Time, Part Time, Contract: Corp-To-Corp, Independent, W2",
505,Senior Microbiome Data Scientist,Motion Recruitment,,,4/13/2023,Full Time,
506,Data Scientist,ApTask,"python, sql, bert, nlp",Remote,4/11/2023,Remote,$60 - $70
507,Data Scientist,Apex Systems,,"Indianapolis, IN",3/28/2023,Full Time,
508,Data Scientist (Energy Preferred),Jobot,,"Herndon, VA",4/12/2023,Full Time,"$140,000 - $170,000 per year"
509,Data Scientist (HDIP) - Hybrid,Irvine Technology Corporation (ITC),,"Los Angeles, CA",4/11/2023,Full Time,"USD120,000 - USD175,000"
510,,,,,,,
511,Data Scientist Advisor,Kforce Technology Staffing,,"Remote or Fairfax, VA",4/3/2023,Remote or Onsite,$59.50 - $80.50 hourly
512,Data Scientist,E-Deft,,,3/28/2023,"Contract: Corp-To-Corp, Independent, W2",
513,Data Scientist Senior,SAIC,"Research, Laboratory, Modeling, Computer, Engineering, Python, Security","MONTEREY, CA",4/13/2023,Full Time,
514,Data Scientist,Novateur Technologies Inc.,"Statistical modeling, Bayesian model, impact model","Dallas, TX",4/4/2023,"Contract: W2, Independent, Corp-To-Corp, 6 Month(s)",Depends on Experience
515,AVP & Data Scientist,Travelers,,"Hartford, CT",4/12/2023,Full Time,"$164,600.00 - $271,500.00"
516,,,,,,,
517,,,,,,,
518,Data Scientist,Global Data Consultants,,"Carlisle, PA",3/24/2023,Full Time,
519,Scientific - Data Scientist,Net2Source Inc.,Please refer to job description,"Lawrenceville, NJ",4/12/2023,"Contract: W2, Independent, 8+ mo(s)",$1 - $64.28 hr
520,Senior Data Scientist,Aerospace Corporation,,"Chantilly, VA",4/6/2023,Full Time,
521,Data Scientist (TS/SCI with Full Scope Poly),Jefferson Frank,"AI, ML, Data","Falls Church, VA",4/12/2023,Full Time,$200000 - $220000 per annum
522,Sr. Data Scientist,Atyeti,"Python, AWS, Scala, Spark","Washington D.C., DC",4/10/2023,"Contract: W2, Corp-To-Corp, Independent, 24 Month(s)",$70 - $80
523,Sr. Data Scientist,Atyeti,"Python, Scala, Spark, Machine Learning, AWS",Remote,4/10/2023,Remote,Depends on Experience
524,Sr. Data Scientist I,Pax8,,"Remote or Greenwood Village, CO",4/8/2023,Remote or Onsite,
525,Data Scientist,TEKHiring,"Machine Learning, Data Science, Random Forest, NLP, Python","Austin, TX",3/17/2023,"Contract: Independent, W2, 1 Year(s)",$40 - $50
526,Data Scientist,Robert Half,"Python, Mathematical","JOHNSTON, IA",4/4/2023,"Contract: Independent, W2",
527,Sr Data Scientist,W3Global,"Machine Learning, Python, SQL, Neural Networks, (Natural Language Processing/Computer Vision), Tensorflow, PyTorch, SkLearn, REST APIs, Docker/Kubernetes, Azure/AWS clouds","Santa Clara, CA",4/12/2023,Full Time,USD120000.0/ANNUAL - USD160000.0/ANNUAL
528,Senior Data Scientist - Geospatial,Darwin Recruitment,Data Science,"Dallas, TX",3/21/2023,Full Time,$140000.00 - $180000.00 per annum
529,Principle Data Scientist,ADDSOURCE,"Kafka, Hadoop, Machine Learning, Docker, AI solution","Remote or Jersey City, NJ",4/10/2023,Remote or Onsite,
530,Senior Data Scientist - Telematics,"Capgemini America, Inc.","Telematics, Python, snowflake, oracle, AWS services","Hartford, CT",4/11/2023,Full Time,Depends on Experience
531,"Data Scientist, Underwriting Automation and Artificial Intelligence",Travelers,,"Hartford, CT",4/14/2023,Full Time,"$121,700.00 - $200,800.00"
532,Senior Data Scientist III,"Korn Ferry/RELX, Inc. RPO",legal,Remote,4/11/2023,Remote,Depends on Experience
533,Data Scientist - Fortune 500 Company,Motion Recruitment,,"San Diego, CA",4/7/2023,Full Time,
534,Data Scientist - Fortune 500 Company,Motion Recruitment,,"Irvine , CA",4/7/2023,Full Time,
535,Data Scientist - Fortune 500 Company,Motion Recruitment,,"Houston, TX",4/7/2023,Full Time,
536,Data Scientist,Veear,"NLP, SQL, Tableau","Sunnyvale, CA",3/24/2023,"Contract: Corp-To-Corp, W2, Independent, 12 Month(s)",$45 - $90
537,Data Scientist - ML - Computer Vision,Eliassen Group,,"Charlotte, NC",4/7/2023,Contract: W2,
538,Data Scientist,Info Dinamica Inc,"Machine Learning, Image Filtering, Binary Morphology, Perspective / Affine transformation, Edge Detection, Tracking., Regression, Unsupervised Learning, PCA.","Santa Clara, CA",3/28/2023,"Contract: Independent, Corp-To-Corp, W2, 13 day((s))",
539,Data Scientist,FirstParty,"Python, SQL",Remote,3/24/2023,Remote,$70 - $90
540,Data Scientist - Data Analyst,Chobanian Group,"Tableau, SQL, Python","Sunnyvale, CA",4/13/2023,"Contract: W2, Independent",$80 - $90
541,Data Scientist,MAXAR Technologies,,"Arlington, VA",3/13/2023,Full Time,
542,Actuarial Data Scientist - Remote,Amica,,"Remote or Lincoln, RI",3/28/2023,Remote or Onsite,See Job Description
543,,,,,,,
544,Data Scientist,Apex Systems,,"Lenexa, KS",3/14/2023,Full Time,
545,Sr. Data Scientist,Concentrix Catalyst,Network,Remote,4/1/2023,Remote,
546,Data Scientist II,"firstPRO, Inc","Sql, R, Python",Remote,3/29/2023,Remote,"$90,000 - $120,000"
547,Data Scientist,"SystemDomain, Inc.",,"Hartford, CT",3/9/2023,"Full Time, Part Time, Contract: Corp-To-Corp, Independent, W2",
548,Data Scientist / ML/AI / Chemistry / Manufacturing,Motion Recruitment,,"Los Angeles, CA",4/7/2023,Full Time,
549,Sr Data Scientist,SHOP.COM / Market America,"PyTorch, Tensorflow, scikit-learn, Python, SQL",Remote,3/27/2023,Remote,Depends on Experience
550,,,,,,,
551,Data Scientist Only on W2 - (Initially REMOTE),Xcelo Group Inc,,Remote,4/10/2023,Remote,
552,,,,,,,
553,Senior Data Scientist (US Remote Eligible),General Mills,,"Minneapolis, MN",4/4/2023,Full Time,Depends on Experience
554,Senior Data Scientist,Eliassen Group,,"Charlotte, NC",3/16/2023,Contract: W2,
555,Data Scientist (Remote),Surya Systems,"SQL, Python, data scientist",Remote,1/13/2023,Remote,$Market
556,Data Scientist,AccruePartners,"Python, Domino",,3/16/2023,Contract: W2,
557,IT|Data Analysis - Data Scientist I,Stellar Consulting Solutions,,"Santa Clara, CA",3/27/2023,"Contract: W2, Independent, Corp-To-Corp, 5 month(s)",
558,Data Scientist/Optical Physicist - Direct Hire,Kelly,"Computer, Engineering, Python, Embedded, Developer, IT","Denver, CO",4/13/2023,Full Time,
559,Senior Data Scientist,Infinity Consulting Solutions,"Python, SQL, Application, Modeling, Web, Consulting, ICS, Accounting","Lisle, IL",3/23/2023,Full Time,
560,Data Scientist / ML/AI/ Chemical Engineering / Manufacturing,Motion Recruitment,,"Houston, TX",4/7/2023,Full Time,
561,Data Scientist/ Masters or PhD required,Motion Recruitment,,"Salt Lake City, AZ",4/5/2023,Full Time,
562,,,,,,,
563,Data Scientist,Eliassen Group,,"Stamford, CT",3/2/2023,Contract: W2,
564,Data Scientist,EKIN Solutions Inc,"Machine Learning, Hadoop Ecosystem, Spark",Remote,3/16/2023,Remote,"$100,000 - $140,000"
565,Senior Data Scientist,Centraprise Corp,"Python, Data Science, Artificial Intelligence, Natural Language Processing",,3/2/2023,"Full Time, Contract: W2",$DOE
566,"Lead Data Scientist, Underwriting",New York Life Insurance Company,"Artificial Intelligence, Analytical, IT, Python, SQL, Oracle, Sales, Foundation",Remote,3/27/2023,Remote,
567,Remote Data Scientist,Apex Systems,,"Johnston, IA",3/10/2023,Full Time,
568,R Developer/ Data Scientist,Quantum Vision LLC,R,"Jersey City, NJ",3/30/2023,"Contract: W2, Independent, Corp-To-Corp, 12 month(s)",
569,Data Scientist/Analyst,Software Guidance & Assistance,,"San Francisco, CA",3/9/2023,"Contract: Independent, W2, Corp-To-Corp",$90.0 - $105.0
570,Data Scientist,Robert Half,"IT, Engineering, Computer, SQL, Python, Analysis, Networks","Houston, TX",3/10/2023,"Contract: W2, Independent",$61.75 to $71.50 hourly
571,Data Scientist - Cyber,"ConsultNet, LLC","Director, Computer, Physics, Engineering, Python, SQL, AWS","Rockville, MD",3/16/2023,Full Time,
572,Data Scientist - TS/SCI full-scope poly,Motion Recruitment,," washington, DC",3/28/2023,Full Time,
573,Jr. Data Scientist,Skilltune,"emass, xacta","New York, NY",3/20/2023,"Contract: W2, 14 Month(s)",$40 - $55
574,,,,,,,
575,,,,,,,
576,Data Analyst/Scientist (Oracle),World Wide Technology,"Data Scientist, oracle",Remote,4/5/2023,Remote,Depends on Experience
577,"Lead Data Scientist at Reston, Virginia (Initial Remote)","KMM Technologies, Inc","HADOOP, Analytics, AWS, ML, Hive","Remote or Reston, VA",4/13/2023,Remote or Onsite,
578,Senior Data Scientist Health and Wellness DTC Consumer Product Company,Motion Recruitment,,"Watertown, MA",4/8/2023,Full Time,
579,,,,,,,
580,Data Scientist 3,HII Mission Technologies,,"San Antonio, TX",3/2/2023,Full Time,
581,Data Scientist / Data Analyst,"firstPRO, Inc",R,"Camden, NJ",3/22/2023,Full Time,"$80,000 - $100,000"
582,Data Scientist - Hybrid,Benchmark IT- Technology Talent,"Data science, STEM, AI, ML, DS, Python, R, Matlab, Tensorflow, Tesseract, PyTorch, Keras, CI/CD, AWS, Azure, GCP, Github, BitBucket, Google Colab, Kaggle, Communication","Greenwich, CT",2/28/2023,Full Time,Depends on Experience
583,Adtech Data Scientist - 100% Remote in US,Motion Recruitment,,"Boston, MA",4/3/2023,Full Time,
584,Data Scientist (Hybrid Onsite 2 days a week),Xoriant Corporation,"Python, Unix, Oracle","Tampa, FL",4/5/2023,"Contract: W2, Independent, 12 Month(s)",$70 - $80
585,Senior Data Scientist,Infinity Consulting Solutions,"Analytical, Engineer, Computer, Research, Consulting, ICS, Accounting","Houston, TX",3/11/2023,Full Time,
586,Data Scientist,Motion Recruitment,,"San Diego , CA",2/15/2023,Full Time,
587,Data Scientist,Motion Recruitment,,"Torrance , CA",2/15/2023,Full Time,
588,Data Scientist,Motion Recruitment,,"Carlsbad, CA",2/15/2023,Full Time,
589,Data Scientist,Motion Recruitment,,"Irvine , CA",2/14/2023,Full Time,
590,Data Scientist,Motion Recruitment,,"Los Angeles, CA",2/14/2023,Full Time,
591,Data Scientist,SAIC,"Management, Systems, Python, NLP","MACDILL AFB, FL",2/24/2023,Full Time,
592,Data Scientist,AccruePartners,"IT, Engineers, Engineering, Computer, Systems, Python, SQL","Fort Mill, SC",2/24/2023,Full Time,
593,Jr. Machine Learning Data Scientist,"K2 Partnering Solutions, Inc.","python, machine learning",Remote,3/13/2023,Remote,$50 - $60
594,Data Scientist,BNY Mellon Corporation,"Analysis, Python, Java, Matlab, SQL, Foundation","Pittsburgh, PA",2/23/2023,Full Time,
595,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation","Lake Mary, FL",2/23/2023,Full Time,
596,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation","Pittsburgh, PA",2/23/2023,Full Time,
597,Data Scientist,Apex Systems,,"Bentonville, AR",2/10/2023,Full Time,
598,MAGNet Lead (ASU) Data Scientist,State Farm,,"Remote or Tempe, AZ",3/1/2023,Remote or Onsite,
599,Data Scientist/AI/ML Engineer,Satsyil Corporation,AI,Remote,3/9/2023,Remote,$80 - $90
600,Data Scientist,Cohesive Technologies LLC,Data Scientist,"Mountain View, CA",4/14/2023,"Contract: Corp-To-Corp, Independent, W2, Long term",
601,Data Scientist,Clearbridge Technology Group,Data Scientist,"Stamford, CT",4/12/2023,"Contract: Corp-To-Corp, Independent, W2, 6 Month(s)",Depends on Experience
602,Data Scientist,Randstad Technologies,Data Scientist,"Remote or Saint Louis, MO",4/15/2023,Remote or Onsite,USD54 - USD64
603,Data Scientist,Randstad Technologies,Data Scientist,"Remote or Saint Louis, MO",4/15/2023,Remote or Onsite,USD54 - USD64
604,Data Scientist,Randstad Technologies,Data Scientist,"Remote or Saint Louis, MO",4/15/2023,Remote or Onsite,USD61 - USD81
605,Data Scientist,Randstad Technologies,Data Scientist,"Charlotte, NC",4/12/2023,Contract: W2,USD71 - USD81
606,Data Scientist,Randstad Technologies,Data Scientist,"Remote or Redmond, WA",4/10/2023,Remote or Onsite,USD39 - USD49
607,Data Scientist (Remote),Codeforce 360,Data Scientist,"Remote or Minneapolis, MN",4/11/2023,Remote or Onsite,
608,Data Scientist,Randstad Technologies,Data Scientist,"Remote or Portland, OR",4/6/2023,Remote or Onsite,USD105 - USD109
609,Data Scientist,Ascendion Inc.,"data scientist, Python, R, SQL, data mining","Greenwood Village, CO",4/13/2023,"Contract: W2, Full-time",USD70.0000 - USD75.0000
610,Data Scientist,E-Deft,"Claims, Healthcare, Data Scientist, Payer",Remote,4/13/2023,Remote,
611,Data Scientist,Phaidon International,Data Scientist,"Texas, USA, TX",3/30/2023,Full Time,$90000 - $100000 per annum
612,Data Scientist,U.S. Tech Solutions Inc.,"Data Science, Data Scientist, data visualization, Data ScienceExperience",Remote,4/5/2023,Remote,Depends on Experience
