index,title,company,city,state,type,salary,salary_type,sal_min,sal_max,sal_median,skills,origin
737,Data Scientist,HCRM Consulting Corp,,,Remote,$50.70 - $63.46 an hour,hourly,50.7,63.46,57.08,,simplyhired.com
742,Data Scientist,Zen Strategics LLC,,,Remote,$104000 - $131000,yearly,104000.0,131000,117500.0,,simplyhired.com
744,Data Scientist,Wish,San Francisco,CA,Onsite,$141000 - $169000,yearly,141000.0,169000,155000.0,,simplyhired.com
745,Data Scientist,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000.0,110000,102500.0,,simplyhired.com
751,Data Scientist,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300.0,11100,49200.0,,simplyhired.com
753,Data Scientist,ConnectiveRx,,,Remote,$98900 - $12500,yearly,98900.0,12500,55700.0,,simplyhired.com
757,Data Scientist,HCRM Consulting Corp,,,Remote,$50.70 - $63.46 an hour,hourly,50.7,63.46,57.08,,simplyhired.com
758,Data Scientist,Zen Strategics LLC,,,Remote,$104000 - $131000,yearly,104000.0,131000,117500.0,,simplyhired.com
760,Data Scientist,Wish,San Francisco,CA,Onsite,$141000 - $169000,yearly,141000.0,169000,155000.0,,simplyhired.com
761,Data Scientist,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000.0,110000,102500.0,,simplyhired.com
763,Data Scientist,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300.0,11100,49200.0,,simplyhired.com
765,Data Scientist,ConnectiveRx,,,Remote,$98900 - $12500,yearly,98900.0,12500,55700.0,,simplyhired.com
766,Data Scientist,Leaz EduTech OPC PVT LTD,,,Remote,$77732 - $192440,yearly,77732.0,192440,135086.0,,simplyhired.com
767,Data Scientist,Kaizen Analytix,,,Remote,$50 - $60 an hour,hourly,50.0,60,55.0,,simplyhired.com
768,Data Scientist,HCRM Consulting Corp,,,Remote,$50.70 - $63.46 an hour,hourly,50.7,63.46,57.08,,simplyhired.com
772,Data Scientist,Zen Strategics LLC,,,Remote,$104000 - $131000,yearly,104000.0,131000,117500.0,,simplyhired.com
774,Data Scientist,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000.0,110000,102500.0,,simplyhired.com
776,Data Scientist,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300.0,11100,49200.0,,simplyhired.com
779,Data Scientist,Driscoll Health,Corpus Christi,TX,Onsite,$72700 - $92000,yearly,72700.0,92000,82350.0,,simplyhired.com
781,Data Scientist,ConnectiveRx,,,Remote,$98900 - $12500,yearly,98900.0,12500,55700.0,,simplyhired.com
782,Data Scientist,Leaz EduTech OPC PVT LTD,,,Remote,$77732 - $192440,yearly,77732.0,192440,135086.0,,simplyhired.com
783,Data Scientist,Kaizen Analytix,,,Remote,$50 - $60 an hour,hourly,50.0,60,55.0,,simplyhired.com
786,Data Engineer,Medline Industries Inc,Chicago,IL,Hybrid,$89600 - $11300,yearly,89600.0,11300,50450.0,,simplyhired.com
791,Data Scientist,The Josef Group Inc.,Annapolis Junction,MD,Onsite,$150000 - $240000,yearly,150000.0,240000,195000.0,,simplyhired.com
794,Data Scientist,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000.0,110000,102500.0,,simplyhired.com
796,Data Scientist,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300.0,11100,49200.0,,simplyhired.com
798,Data Scientist,Leaz EduTech OPC PVT LTD,,,Remote,$77732 - $192440,yearly,77732.0,192440,135086.0,,simplyhired.com
802,Data Scientist,Kaizen Analytix,,,Remote,$50 - $60 an hour,hourly,50.0,60,55.0,,simplyhired.com
804,Data Engineer,Gateway Professional Network,,,Remote,$95000 - $145000,yearly,95000.0,145000,120000.0,,simplyhired.com
805,Data Scientist,Newfish Inc,New York,NY,Onsite,$111000 - $141000,yearly,111000.0,141000,126000.0,,simplyhired.com
806,Data Scientist,Nanit,New York,NY,Onsite,$115000 - $120000,yearly,115000.0,120000,117500.0,,simplyhired.com
812,Data Scientist,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000.0,110000,102500.0,,simplyhired.com
817,Data Scientist,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300.0,11100,49200.0,,simplyhired.com
819,Data Scientist,Kaizen Analytix,,,Remote,$50 - $60 an hour,hourly,50.0,60,55.0,,simplyhired.com
824,Data Scientist,Newfish Inc,New York,NY,Onsite,$111000 - $141000,yearly,111000.0,141000,126000.0,,simplyhired.com
825,Data Scientist,Nanit,New York,NY,Onsite,$115000 - $120000,yearly,115000.0,120000,117500.0,,simplyhired.com
826,Data Scientist,Blue Apron,New York,NY,Onsite,$99400 - $12600,yearly,99400.0,12600,56000.0,,simplyhired.com
