index,title,company,Skills,city,state,posted_date,type,salary,type.1,sal_min,sal_max,sal_median,origin
112,Data Scientist,E-Deft,,,,3/28/2023,"Contract: Corp-To-Corp, Independent, W2",,,,,,dice.com
114,Data Scientist,Novateur Technologies Inc.,"Statistical Modeling, Bayesian Model, Impact Model",Dallas,TX,4/4/2023,"Contract: W2, Independent, Corp-To-Corp, 6 Month(s)",Depends on Experience,,,,,dice.com
118,Data Scientist,Global Data Consultants,,Carlisle,PA,3/24/2023,Full Time,,,,,,dice.com
119,Senior Data Scientist,Aerospace Corporation,,Chantilly,VA,4/6/2023,Full Time,,,,,,dice.com
125,Data Scientist,TEKHiring,ML,Austin,TX,3/17/2023,"Contract: W2, Independent, 1 Year(s)",$40 - $50,yearly,40000.0,50000.0,45000.0,dice.com
126,Data Scientist,Robert Half,"Python, Mathematical",Johnston,IA,4/4/2023,"Contract: Independent, W2",,,,,,dice.com
136,Data Scientist,Veear,"NLP, SQL, Tableau",Sunnyvale,CA,3/24/2023,"Contract: W2, Corp-To-Corp, Independent, 12 Month(s)",$45 - $90,yearly,45000.0,90000.0,67500.0,dice.com
138,Data Scientist,Info Dinamica Inc,"ML, Image Filtering, Binary Morphology, Perspective / Affine Transformation, Edge Detection, Tracking, Regression, Unsupervised Learning, Pca",Santa Clara,CA,3/28/2023,"Contract: W2, Independent, Corp-To-Corp, 13 day((s))",,,,,,dice.com
139,Data Scientist,FirstParty,"Python, SQL",,,3/24/2023,"Contract: W2, 12 Month(s)",$70 - $90,yearly,70000.0,90000.0,80000.0,dice.com
141,Data Scientist,MAXAR Technologies,,Arlington,VA,3/13/2023,Full Time,,,,,,dice.com
144,Data Scientist,Apex Systems,,Lenexa,KS,3/14/2023,Full Time,,,,,,dice.com
147,Data Scientist,"SystemDomain, Inc.",,Hartford,CT,3/9/2023,"Full Time, Part Time, Contract: Corp-To-Corp, Independent, W2",,,,,,dice.com
154,Senior Data Scientist,Eliassen Group,,Charlotte,NC,3/16/2023,Contract: W2,,,,,,dice.com
157,Data Scientist,AccruePartners,"Python, Domino",,,3/16/2023,Contract: W2,,,,,,dice.com
159,Senior Data Scientist,Infinity Consulting Solutions,"Python, SQL, Application, Modeling, Web, Consulting, ICS, Accounting",Lisle,IL,3/23/2023,Full Time,,,,,,dice.com
163,Data Scientist,Motion Recruitment,,Arlington,VA,3/3/2023,Full Time,,,,,,dice.com
164,Data Scientist,Eliassen Group,,Stamford,CT,3/2/2023,Contract: W2,,,,,,dice.com
165,Data Scientist,EKIN Solutions Inc,"ML, Hadoop Ecosystem, Spark",,,3/16/2023,Full Time,"$100,000 - $140,000",yearly,100000.0,140000.0,120000.0,dice.com
166,Senior Data Scientist,Centraprise Corp,Python,,,3/2/2023,"Full Time, Contract: W2",$DOE,,,,,dice.com
171,Data Scientist,Robert Half,"It, Engineering, Computer, SQL, Python, Analysis, Networks",Houston,TX,3/10/2023,"Contract: Independent, W2",$61.75 to $71.50 hourly,hourly,61.75,71.5,66.63,dice.com
185,Senior Data Scientist,Infinity Consulting Solutions,"Analytical, Engineer, Computer, Research, Consulting, ICS, Accounting",Houston,TX,3/11/2023,Full Time,,,,,,dice.com
187,Data Scientist,Motion Recruitment,,San Diego ,CA,2/15/2023,Full Time,,,,,,dice.com
188,Data Scientist,Motion Recruitment,,Torrance ,CA,2/15/2023,Full Time,,,,,,dice.com
189,Data Scientist,Motion Recruitment,,Carlsbad,CA,2/15/2023,Full Time,,,,,,dice.com
190,Data Scientist,Motion Recruitment,,Irvine ,CA,2/14/2023,Full Time,,,,,,dice.com
191,Data Scientist,Motion Recruitment,,Los Angeles,CA,2/14/2023,Full Time,,,,,,dice.com
192,Data Scientist,SAIC,"Management, Systems, Python, NLP",Macdill AFB,FL,2/24/2023,Full Time,,,,,,dice.com
193,Data Scientist,AccruePartners,"It, Engineers, Engineering, Computer, Systems, Python, SQL",Fort Mill,SC,2/24/2023,Full Time,,,,,,dice.com
195,Data Scientist,BNY Mellon Corporation,"Analysis, Python, Java, Matlab, SQL, Foundation",Pittsburgh,PA,2/23/2023,Full Time,,,,,,dice.com
196,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation",Pittsburgh,PA,2/23/2023,Full Time,,,,,,dice.com
197,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation",Lake Mary,FL,2/23/2023,Full Time,,,,,,dice.com
200,Data Analyst,QED National,Data Analyst,New York,NY,4/12/2023,"Contract: W2, Corp-To-Corp, 6 month(s)",$45 - $53 per hour,hourly,45000.0,53000.0,49000.0,dice.com
201,Data Analyst,Randstad Technologies,Data Analyst,Schertz,TX,4/12/2023,Full Time,"USD70,000 - USD80,000",yearly,70000.0,80000.0,75000.0,dice.com
202,Data Analyst,Vaco Technology,Data Analyst,Kennesaw,GA,4/14/2023,Contract: W2,,,,,,dice.com
204,Data Analyst,Michael Page International,Data Analyst,Manhattan,NY,4/5/2023,Contract: W2,$55 - $62 per hour,hourly,55000.0,62000.0,58500.0,dice.com
205,Data Analyst,ITECCO Limited,Data Analyst,Austin,TX,4/5/2023,Full Time,$110000 - $140000 per annum,yearly,110000.0,140000.0,125000.0,dice.com
206,Data Analyst,Randstad Technologies,Data Analyst,Boston,MA,4/2/2023,Full Time,"USD100,000 - USD120,000",yearly,100000.0,120000.0,110000.0,dice.com
209,Data Analyst,Michael Page International,Data Analyst,Manhattan,NY,3/29/2023,Contract: W2,$55 - $62 per hour,hourly,55000.0,62000.0,58500.0,dice.com
215,Data Analyst,"New Resources Consulting, LLC","B2B, Data Analyst, Data Governance, Relational Databases, Cloud, Power BI, Snowflake",Dane County,WI,4/12/2023,Full Time,Depends on Experience,,,,,dice.com
216,Data Analyst,U.S. Tech Solutions Inc.,Data Analyst,,,3/24/2023,"Contract: W2, 4 Month(s)",Depends on Experience,,,,,dice.com
219,Data Analyst,INNOVIT USA INC,"SSIS, SQL Server, t-SQL, Data Analyst, Data Models",,,4/3/2023,"Contract: Corp-To-Corp, 6",$50 ,hourly,50.0,,50.0,dice.com
225,Data Analyst,R2 Info,Data Analyst,,,4/5/2023,Full Time,"$90,000 - $110,000",yearly,90000.0,110000.0,100000.0,dice.com
226,Data Analyst,Honu Services,Data Analyst,Silver Spring,MD,3/18/2023,Full Time,,,,,,dice.com
227,Data Analyst,Crescent Solutions Inc,"Data Analyst, SQL, Excel, Tableau, Power BI, Data Analysis, Data Mapping, Data Integration, Validate Data",Century City,CA,4/7/2023,Full Time,"$80,000+",,80000.0,,80000.0,dice.com
229,Data Analyst,"Tek Ryders, LLC","Data Analyst, Ms Word, Tableau, Excel, SQL, Power BI",,,4/10/2023,"Contract: W2, 1 Year(s)",Depends on Experience,,,,,dice.com
236,Data Analyst,Ascendion Inc.,"Data Analyst, SQL, Data Wrangling, Jira, Adobe, Tableau",San Antonio,TX,4/6/2023,"Contract: W2, Full-time",USD10.0000 - USD40.0000,hourly,10.0,40.0,25.0,dice.com
238,Data Analyst,"Softpath System, LLC.","Data Analyst, Tableau, SQL Server, SQL, SSIS, t-SQL, Data Mining",Richmond,VA,3/31/2023,"Contract: W2, Corp-To-Corp, 12 Month(s)",Depends on Experience,,,,,dice.com
240,Data Analyst,"Pyramid Consulting, Inc.","Data Analyst, Python, SQL, Tableau, AWS, Airflow, Shell Scripting",Richmond,VA,4/7/2023,"Contract: W2, 08 Month(s)",$40 - $45,yearly,40000.0,45000.0,42500.0,dice.com
242,Data Analyst,CSG,"Data Analyst, Excel, Ms Office, Ms SQL, SQL, Data Analysis, Data Collection, Data Conversion, Data Management, Data Governance, Quality Improvement, Project Management, Business Analysis, Communication Skills",,,4/6/2023,Full Time,Depends on Experience,,,,,dice.com
244,Data Analyst,Ascendion Inc.,"Remote, Data Analyst, SQL, Healthcare",Minneapolis,MN,3/21/2023,Full Time,USD50.0000 - USD60.0000,hourly,50.0,60.0,55.0,dice.com
245,Data Analyst,"IT Trailblazers, LLC","Access, Data Analyst, Information Systems, Power BI, Public Health, Regulatory Compliance, System Analysis",Boston,MA,4/7/2023,"Contract: W2, 6 Month(s)",$20 - $50,hourly,20000.0,50000.0,35000.0,dice.com
251,Data Scientist,"Engage Partners, Inc.",AI,New York,NY,3/27/2023,Full Time,Depends on Experience,,,,,dice.com
252,Data Scientist,Darwin Recruitment,Data Engineering,Chicago,IL,4/15/2023,Full Time,$100000.00 - $120000.00 per annum,yearly,100000.0,120000.0,110000.0,dice.com
253,Data Scientist,ABN TECH CORP,"Python, ML, Arima, Sarima",San Francisco,CA,4/14/2023,"Contract: W2, Independent, Corp-To-Corp, 12 Month(s)",$60 - $70,yearly,60000.0,70000.0,65000.0,dice.com
254,Data Scientist,"Technology Solutions Provider, Inc.","Data Science, Python",,,4/13/2023,Full Time,Depends on Experience,,,,,dice.com
257,Data Scientist,Denken Solutions,"Classical ML, Statistics Structured, Performance Metrics, Data Pre-Processing, Neural or NLP, AB Testing",,WI,4/14/2023,"Contract: W2, Corp-To-Corp",USD Depends on Experience,,,,,dice.com
260,Data Scientist,Amtex System Inc.,"Python, Java, AWS, GCP, C/C++, Data, Perl, BQ, Scientist, Vertex AI",San Jose,CA,4/13/2023,"Contract: Corp-To-Corp, 6 month(s)+",,,,,,dice.com
262,Data Scientist,"Zachary Piper Solutions, LLC",,McLean,VA,4/15/2023,Full Time,,,,,,dice.com
265,Data Scientist,Eliassen Group,,Charlotte,NC,4/13/2023,Contract: W2,,,,,,dice.com
269,Data Scientist,Yash Solutions LLC,"Data Scientist, ML, Python, AWS, Sagemaker, Athena, Glue, SQL",Greenville,SC,2/28/2023,Contract: W2,Depends on Experience,,,,,dice.com
270,Data Scientist,Kforce Technology Staffing,,Cincinnati,OH,4/13/2023,"Contract: W2, Temp",$47 - $51 hourly,hourly,47.0,51.0,49.0,dice.com
271,Data Scientist,IT Concepts Inc,"Statistical Analysis, ML, ML Model, Natural Language Processing, NLP, SQL, Advanced Queries, Python, SAS, R Program, Enterprise Data, Data Manipulation, Data Visualization, Data Analytics, Tableau",Woodlawn,MD,3/2/2023,Full Time,"$100,000 - $140,000",yearly,100000.0,140000.0,120000.0,dice.com
272,Data Scientist,Kforce Technology Staffing,,Redmond,WA,4/11/2023,"Contract: W2, Temp",$55 - $70 hourly,hourly,55.0,70.0,62.5,dice.com
273,Data Scientist,Peterson Technology Partners,Data Mining,,,3/31/2023,"Contract: Independent, W2, Corp-To-Corp, 12 Month(s)",Depends on Experience,,,,,dice.com
277,Data Scientist,Indotronix International Corp,"Analytics, Python, SQL",Portland,OR,4/4/2023,"Contract: W2, 6 Month(s)",$100 - $110,hourly,100000.0,110000.0,105000.0,dice.com
278,Data Scientist,CMCI,"Data Scientist, Business Objects, Cluster Analysis",,,3/6/2023,Full Time,Depends on Experience,,,,,dice.com
279,Data Scientist,Apex Systems,,Richmond,VA,4/6/2023,Full Time,,,,,,dice.com
281,Data Scientist,Motion Recruitment,,Los Angeles,CA,4/7/2023,Full Time,,,,,,dice.com
286,Data Scientist,Xcelo Group Inc,,Dallas,TX,4/4/2023,"Full Time, Part Time, Contract: Independent, Corp-To-Corp, W2",,,,,,dice.com
288,Data Scientist,Robert Half,"Python, Computer, SQL, Mathematical",Chicago,IL,4/14/2023,Full Time,$100000.00 to $125000.00 yearly,yearly,100000.0,125000.0,112500.0,dice.com
291,Data Scientist,Dew Software,"Data Scientist, ML, Communication Skills, Data Architecture, Problem - Solving Skills, Python, Data Engineering",,,2/14/2023,Contract: W2,Depends on Experience,,,,,dice.com
293,Data Scientist,"TSR Consulting Services, Inc.","Python, Matlab, Oracle, SQL, Consulting",Princeton,NJ,4/13/2023,"Contract: Corp-To-Corp, W2, Independent",,,,,,dice.com
297,Data Scientist,Odesus,"AI, AI, Python, R, SQL, DBMS, SAS, Stata, SPSS, Sagemaker, Tensorflow, Kafka, Spark, Hadoop",Los Angeles,CA,4/10/2023,Full Time,"$120,000 - $175,000",yearly,120000.0,175000.0,147500.0,dice.com
298,Senior Data Scientist,Eliassen Group,,Herndon,VA,4/7/2023,Contract: W2,,,,,,dice.com
300,Data Scientist,Jobot,,New York,NY,4/4/2023,Full Time,"$120,000 - $140,000 per year",yearly,120000.0,140000.0,130000.0,dice.com
302,Data Scientist,Robert Half,"SQL, Excel, Python",Cherry Hill,NJ,4/9/2023,Full Time,$100000.00 to $120000.00 yearly,yearly,100000.0,120000.0,110000.0,dice.com
303,Data Scientist,Motion Recruitment,,Houston ,TX,3/29/2023,Full Time,,,,,,dice.com
304,Data Scientist,Maddisoft,,Houston,TX,3/28/2023,"Full Time, Part Time, Contract: Corp-To-Corp, Independent, W2",,,,,,dice.com
306,Data Scientist,Apex Systems,,Indianapolis,IN,3/28/2023,Full Time,,,,,,dice.com
307,Data Scientist,ApTask,"Python, SQL, Bert, NLP",,,4/11/2023,"Contract: Corp-To-Corp, 12 Month(s)",$60 - $70,yearly,60000.0,70000.0,65000.0,dice.com
312,Data Scientist,E-Deft,,,,3/28/2023,"Contract: Corp-To-Corp, W2, Independent",,,,,,dice.com
314,Data Scientist,Novateur Technologies Inc.,"Statistical Modeling, Bayesian Model, Impact Model",Dallas,TX,4/4/2023,"Contract: Corp-To-Corp, Independent, W2, 6 Month(s)",Depends on Experience,,,,,dice.com
318,Data Scientist,Global Data Consultants,,Carlisle,PA,3/24/2023,Full Time,,,,,,dice.com
319,Senior Data Scientist,Aerospace Corporation,,Chantilly,VA,4/6/2023,Full Time,,,,,,dice.com
325,Data Scientist,TEKHiring,ML,Austin,TX,3/17/2023,"Contract: W2, Independent, 1 Year(s)",$40 - $50,yearly,40000.0,50000.0,45000.0,dice.com
326,Data Scientist,Robert Half,"Python, Mathematical",Johnston,IA,4/4/2023,"Contract: Independent, W2",,,,,,dice.com
336,Data Scientist,Veear,"NLP, SQL, Tableau",Sunnyvale,CA,3/24/2023,"Contract: W2, Independent, Corp-To-Corp, 12 Month(s)",$45 - $90,yearly,45000.0,90000.0,67500.0,dice.com
337,Data Scientist,Info Dinamica Inc,"ML, Image Filtering, Binary Morphology, Perspective / Affine Transformation, Edge Detection, Tracking., Regression, Unsupervised Learning, Pca.",Santa Clara,CA,3/28/2023,"Contract: Independent, W2, Corp-To-Corp, 13 day((s))",,,,,,dice.com
339,Data Scientist,FirstParty,"Python, SQL",,,3/24/2023,"Contract: W2, 12 Month(s)",$70 - $90,yearly,70000.0,90000.0,80000.0,dice.com
341,Data Scientist,MAXAR Technologies,,Arlington,VA,3/13/2023,Full Time,,,,,,dice.com
344,Data Scientist,Apex Systems,,Lenexa,KS,3/14/2023,Full Time,,,,,,dice.com
347,Data Scientist,"SystemDomain, Inc.",,Hartford,CT,3/9/2023,"Full Time, Part Time, Contract: W2, Corp-To-Corp, Independent",,,,,,dice.com
354,Senior Data Scientist,Eliassen Group,,Charlotte,NC,3/16/2023,Contract: W2,,,,,,dice.com
357,Data Scientist,AccruePartners,"Python, Domino",,,3/16/2023,Contract: W2,,,,,,dice.com
359,Senior Data Scientist,Infinity Consulting Solutions,"Python, SQL, Application, Modeling, Web, Consulting, ICS, Accounting",Lisle,IL,3/23/2023,Full Time,,,,,,dice.com
363,Data Scientist,Motion Recruitment,,Arlington,VA,3/3/2023,Full Time,,,,,,dice.com
364,Data Scientist,Eliassen Group,,Stamford,CT,3/2/2023,Contract: W2,,,,,,dice.com
365,Data Scientist,EKIN Solutions Inc,"ML, Hadoop Ecosystem, Spark",,,3/16/2023,Full Time,"$100,000 - $140,000",yearly,100000.0,140000.0,120000.0,dice.com
366,Senior Data Scientist,Centraprise Corp,Python,,,3/2/2023,"Full Time, Contract: W2",$DOE,,,,,dice.com
371,Data Scientist,Robert Half,"IT, Engineering, Computer, SQL, Python, Analysis, Networks",Houston,TX,3/10/2023,"Contract: Independent, W2",$61.75 to $71.50 hourly,hourly,61.75,71.5,66.63,dice.com
385,Senior Data Scientist,Infinity Consulting Solutions,"Analytical, Engineer, Computer, Research, Consulting, ICS, Accounting",Houston,TX,3/11/2023,Full Time,,,,,,dice.com
387,Data Scientist,Motion Recruitment,,San Diego ,CA,2/15/2023,Full Time,,,,,,dice.com
388,Data Scientist,Motion Recruitment,,Carlsbad,CA,2/15/2023,Full Time,,,,,,dice.com
389,Data Scientist,Motion Recruitment,,Torrance ,CA,2/15/2023,Full Time,,,,,,dice.com
390,Data Scientist,Motion Recruitment,,Los Angeles,CA,2/14/2023,Full Time,,,,,,dice.com
391,Data Scientist,Motion Recruitment,,Irvine ,CA,2/14/2023,Full Time,,,,,,dice.com
392,Data Scientist,SAIC,"Management, Systems, Python, NLP",Macdill AFB,FL,2/24/2023,Full Time,,,,,,dice.com
393,Data Scientist,AccruePartners,"IT, Engineers, Engineering, Computer, Systems, Python, SQL",Fort Mill,SC,2/24/2023,Full Time,,,,,,dice.com
395,Data Scientist,BNY Mellon Corporation,"Analysis, Python, Java, Matlab, SQL, Foundation",Pittsburgh,PA,2/23/2023,Full Time,,,,,,dice.com
396,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation",Lake Mary,FL,2/23/2023,Full Time,,,,,,dice.com
397,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation",Pittsburgh,PA,2/23/2023,Full Time,,,,,,dice.com
400,Data Engineer,Beacon Hill Technologies,Data Engineer,,,4/12/2023,Contract: W2,,,,,,dice.com
401,Data Engineer,Experis,Data Engineer,Englewood,CO,4/12/2023,Contract: W2,$60 - $77 per hour,hourly,60000.0,77000.0,68500.0,dice.com
402,Data Engineer,Randstad Technologies,Data Engineer,Addison,TX,4/14/2023,Contract: W2,USD58 - USD68,hourly,58000.0,68000.0,63000.0,dice.com
403,Data Engineer,Randstad Technologies,Data Engineer,Atlanta,GA,4/10/2023,Contract: W2,USD40 - USD50,hourly,40000.0,50000.0,45000.0,dice.com
404,Data Engineer,Randstad Technologies,Data Engineer,Atlanta,GA,4/10/2023,Contract: W2,USD40 - USD50,hourly,40000.0,50000.0,45000.0,dice.com
405,Data Engineer,Precision Resource Group Limited,Data Engineer,,,4/9/2023,Full Time,$160000 - $180000 per annum,yearly,160000.0,180000.0,170000.0,dice.com
